Minisector,VER,HAM,Fastest
0,279.1506405147836,282.62105295584416,HAM
1,116.7037704653231,123.00481534471025,HAM
2,154.97602495568253,151.82236711172396,VER
3,216.8477452237587,217.56951280926717,HAM
4,164.3622127785538,160.22041236038092,VER
5,238.0888918623954,243.05374182178525,HAM
6,219.3778341326869,209.88004648761907,VER
7,142.12897232214826,132.68919066119278,VER
8,230.4772877577143,229.67523151795854,VER
9,269.61787175265937,269.29922949915965,VER
10,280.20529170213916,278.1442634843367,VER
11,148.38612052753743,145.9693363808964,VER
12,212.04344295207812,215.71751364487108,HAM
13,263.1368380538095,265.71179717688887,HAM
14,262.5624969677527,265.2734082638448,HAM
15,101.31573829197721,99.82928825915236,VER
16,217.367319469328,215.4667961576912,VER
17,269.25109336,266.3603711553411,VER
18,289.9490241405291,291.10500154607297,HAM
19,300.9839493270588,300.15447750316883,VER
20,307.64244898133336,306.36180610960423,VER
21,289.91881749761905,286.7538095358396,VER
22,147.70237916266666,146.1422740929185,VER
23,226.2102690307483,230.5671102926407,HAM
24,273.98163911499535,273.31250212888887,VER
25,,285.0838503687355,HAM
