Minisector,VER,LEC,Fastest
0,279.1506405147836,284.2882060882563,LEC
1,116.7037704653231,112.08921616653497,VER
2,154.97602495568253,166.77141153400402,LEC
3,216.8477452237587,205.30559220184182,VER
4,164.3622127785538,168.2776812049788,LEC
5,238.0888918623954,244.03542402663862,LEC
6,219.3778341326869,190.28200497936027,VER
7,142.12897232214826,136.9059964557623,VER
8,230.4772877577143,236.31034538276887,LEC
9,269.61787175265937,273.54394375330367,LEC
10,280.20529170213916,273.50925626912715,VER
11,148.38612052753743,147.3958869908304,VER
12,212.04344295207812,221.6386895310892,LEC
13,263.1368380538095,267.59254419889726,LEC
14,262.5624969677527,248.65357463288888,VER
15,101.31573829197721,100.10867725851604,VER
16,217.367319469328,221.69270970771072,LEC
17,269.25109336,273.1226790806857,LEC
18,289.9490241405291,294.546430272,LEC
19,300.9839493270588,305.3021339081763,LEC
20,307.64244898133336,311.1176736992304,LEC
21,289.91881749761905,272.70770421976056,VER
22,147.70237916266666,152.74666243661846,LEC
23,226.2102690307483,236.71986168988184,LEC
24,273.98163911499535,279.52853214877325,LEC
