X,Y,Minisector,Fastest
3351.6338450091403,957.2968603768635,0,ALO
3375.656487129937,745.6205247345641,0,ALO
3377.0,729.0,0,ALO
3392.0,508.0,0,ALO
3397.3021910271827,406.3460704374152,0,ALO
3395.16694574235,286.29168307103794,0,ALO
3394.0,254.0,0,ALO
3388.0,95.0,0,ALO
3386.827870245141,74.07916877538754,0,ALO
3377.4244282009035,-49.8183596790331,0,ALO
3375.0,-77.0,0,ALO
3362.2250751989236,-207.1684988233095,0,ALO
3361.0,-219.0,0,ALO
3345.325505980032,-363.6747972976127,0,ALO
3335.0,-451.0,0,ALO
3324.0,-539.0,0,ALO
3314.0468538226146,-626.3363357702499,0,ALO
3310.0,-663.0,0,ALO
3294.938679276372,-801.0019476483246,0,ALO
3293.0,-821.0,1,ALO
3284.0,-939.0,1,ALO
3283.35438327284,-951.718786684114,1,ALO
3280.934968685986,-1048.801789344724,1,ALO
3281.0,-1074.0,1,ALO
3284.2047314703964,-1154.7659379113502,1,ALO
3286.0,-1170.0,1,ALO
3437.2249934461665,-1522.433627865573,1,ALO
3442.0,-1529.0,1,ALO
3473.312380761454,-1560.4340052157456,1,ALO
3484.0,-1569.0,1,ALO
3547.922695307562,-1618.0661365492588,1,ALO
3552.0,-1621.0,1,ALO
3640.4275195450136,-1676.4476734317038,1,ALO
3645.0,-1679.0,1,ALO
3727.0,-1723.0,1,ALO
3729.0194456977865,-1724.074302625406,1,ALO
3759.781268394189,-1740.580295208028,1,ALO
3781.0,-1755.0,1,ALO
3804.612763897108,-1773.5271393114274,1,ALO
3849.0,-1813.0,1,ALO
3865.863854225169,-1833.1820445082808,1,ALO
3876.2059766126335,-1857.737512430885,1,ALO
3879.0,-1869.0,1,ALO
3887.6025165243495,-1931.5171510244916,1,ALO
3888.0,-1940.0,1,ALO
3887.0310008971505,-1968.1750321993486,1,ALO
3875.5778756863947,-2014.810472999341,1,ALO
3875.0,-2017.0,1,ALO
3864.0,-2053.0,1,ALO
3841.0,-2106.0,1,ALO
3840.1189323375925,-2107.909518126846,1,ALO
3820.4023748906093,-2141.9764555982792,1,ALO
3814.0,-2150.0,1,ALO
3803.8479048356203,-2162.846568337685,1,ALO
3785.0,-2183.0,1,ALO
3729.2244332856603,-2222.6776797063144,1,ALO
3693.0,-2243.0,2,ZHO
3664.2711148311323,-2254.862971098045,2,ZHO
3630.7375590706015,-2260.2349220754513,2,ZHO
3618.0,-2262.0,2,ZHO
3553.0,-2270.0,2,ZHO
3551.4179535854464,-2270.1312994937107,2,ZHO
3499.9787965998303,-2272.5965719168544,2,ZHO
3482.0,-2273.0,2,ZHO
3413.0,-2273.0,2,ZHO
3386.692589130315,-2272.1138607286834,2,ZHO
3302.0,-2267.0,2,ZHO
3299.9808071719785,-2266.83714603287,2,ZHO
3186.2071861687123,-2252.8854477934938,2,ZHO
3181.0,-2252.0,2,ZHO
3088.0,-2233.0,2,ZHO
3034.0,-2220.0,2,ZHO
2956.561036594324,-2198.121349448619,2,ZHO
2910.0,-2184.0,2,ZHO
2776.0,-2141.0,2,ZHO
2752.146158862517,-2133.1051227218027,2,ZHO
2613.1040528481353,-2084.6857929756384,2,ZHO
2606.0,-2082.0,2,ZHO
2523.0,-2049.0,2,ZHO
2509.2864661713816,-2043.2625505792405,2,ZHO
2460.0,-2022.0,2,ZHO
2407.671248593788,-1998.2570235833814,2,ZHO
2303.0,-1944.0,2,ZHO
2298.3059427565804,-1941.3412042300956,2,ZHO
2158.0,-1858.0,2,ZHO
2076.974926216343,-1807.4254479713466,2,ZHO
1981.0,-1741.0,3,ZHO
1966.4296094846302,-1730.6945311027337,3,ZHO
1814.0,-1621.0,3,ZHO
1754.6568724154968,-1576.6849076325848,3,ZHO
1600.5572300498527,-1457.7308198106155,3,ZHO
1565.0,-1430.0,3,ZHO
1530.929119531765,-1403.341714763641,3,ZHO
1488.9756159170215,-1370.0891556466377,3,ZHO
1431.0,-1322.0,3,ZHO
1400.0,-1296.0,3,ZHO
1365.57143586161,-1267.5980168328208,3,ZHO
1271.0,-1192.0,3,ZHO
1210.493781984307,-1144.2206184501904,3,ZHO
1097.0,-1051.0,3,ZHO
1002.5653237450963,-967.8431972737874,3,ZHO
996.0,-962.0,3,ZHO
943.9494632285929,-913.4902066791475,3,ZHO
929.0,-896.0,3,ZHO
889.0967975776801,-847.3859845421929,3,ZHO
802.0,-733.0,3,ZHO
790.4079879228731,-715.1557430289464,3,ZHO
758.0544761024964,-644.2927446226627,3,ZHO
749.0,-606.0,4,ALO
742.1933837524402,-554.77737949167,4,ALO
742.0,-520.0,4,ALO
751.15505101621,-428.32984018962105,4,ALO
752.0,-423.0,4,ALO
764.0,-347.0,4,ALO
767.5453886301698,-277.6730402885222,4,ALO
769.0,-217.0,4,ALO
766.0013157318905,-152.53298127291745,4,ALO
762.0,-129.0,4,ALO
748.0,-49.0,4,ALO
741.6779799044884,-23.325376965807752,4,ALO
728.0,20.0,4,ALO
721.4726641765941,37.39306514601618,4,ALO
693.9003932107776,98.15605135840981,4,ALO
687.0,111.0,4,ALO
626.3305691829383,203.10538171056427,4,ALO
605.0,231.0,4,ALO
581.0,261.0,4,ALO
557.3219054947498,290.42702154604393,4,ALO
503.0,358.0,4,ALO
472.11591142309805,396.40825368585155,4,ALO
376.0,516.0,4,ALO
347.0646345131629,552.2810623121235,4,ALO
332.0,571.0,4,ALO
255.6907878182211,663.823377004578,4,ALO
202.0,725.0,4,ALO
128.1368903184277,805.3701999489938,4,ALO
66.0,871.0,5,ZHO
4.5302653673501965,932.7411242292017,5,ZHO
-54.3937307851226,983.6841459673284,5,ZHO
-68.0,995.0,5,ZHO
-149.78829213728392,1061.9520334707418,5,ZHO
-156.0,1067.0,5,ZHO
-257.0,1148.0,5,ZHO
-311.38616571535607,1190.800299364144,5,ZHO
-412.0,1270.0,5,ZHO
-523.4212651990387,1360.8529075652166,5,ZHO
-596.184007161813,1438.0852973361584,5,ZHO
-608.0,1452.0,5,ZHO
-674.0,1536.0,5,ZHO
-676.9684234573157,1540.3822546195404,5,ZHO
-757.5503970018235,1682.171061687641,5,ZHO
-762.0,1691.0,5,ZHO
-819.77945903717,1824.07358298571,5,ZHO
-855.0,1926.0,5,ZHO
-869.6824668564573,1970.7106956846665,5,ZHO
-890.0,2040.0,5,ZHO
-932.0,2262.0,6,ALO
-932.4976021525256,2265.692058742605,6,ALO
-942.370233778992,2406.633195036653,6,ALO
-943.0,2452.0,6,ALO
-943.0,2608.0,6,ALO
-942.8086843893665,2626.243261135049,6,ALO
-940.6405732683897,2742.2943483576532,6,ALO
-938.0,2833.0,6,ALO
-932.7339185116499,2957.5790475761532,6,ALO
-932.0,2972.0,6,ALO
-922.0,3154.0,6,ALO
-919.001860214473,3201.9369665532467,6,ALO
-914.0,3264.0,6,ALO
-912.0979940371064,3327.7081330351225,6,ALO
-912.0,3409.0,6,ALO
-912.0601356208546,3411.417109111995,6,ALO
-915.0,3472.0,6,ALO
-928.0,3576.0,6,ALO
-937.4066141174,3618.3946934396954,6,ALO
-965.1714602262477,3721.2499292520115,6,ALO
-969.0,3734.0,6,ALO
-980.0915600415059,3766.6422857219322,6,ALO
-994.5350622754817,3791.958291422432,6,ALO
-1001.0,3803.0,6,ALO
-1026.0,3845.0,6,ALO
-1030.4715202653065,3851.6515678473434,7,ZHO
-1068.0,3894.0,7,ZHO
-1069.8945444558638,3895.647180100997,7,ZHO
-1135.9276574229639,3944.219734177223,7,ZHO
-1145.0,3950.0,7,ZHO
-1180.1863048570185,3965.888676011199,7,ZHO
-1192.0,3969.0,7,ZHO
-1217.947530038968,3975.646394713706,7,ZHO
-1282.2125128263285,3983.906974762947,7,ZHO
-1288.0,3984.0,7,ZHO
-1378.0,3981.0,7,ZHO
-1380.9431915796679,3980.8587130055316,7,ZHO
-1433.9920068476795,3978.024233824762,7,ZHO
-1453.2407385960796,3976.055846203739,7,ZHO
-1481.0,3973.0,7,ZHO
-1501.0,3971.0,7,ZHO
-1548.5600012630023,3970.136509992541,7,ZHO
-1632.0,3974.0,7,ZHO
-1679.3510185325931,3979.528595114167,7,ZHO
-1709.0,3988.0,7,ZHO
-1728.4414975514815,3994.608648051815,7,ZHO
-1810.0,4029.0,7,ZHO
-1825.8785762849777,4037.816396899526,7,ZHO
-1869.0,4066.0,7,ZHO
-1914.5674450772074,4102.383186804807,7,ZHO
-1931.0,4117.0,7,ZHO
-1979.0,4164.0,7,ZHO
-2021.0281075511427,4211.172300578381,7,ZHO
-2088.0,4306.0,7,ZHO
-2112.7566506256962,4349.841188646912,7,ZHO
-2158.4613234753438,4442.031503272494,7,ZHO
-2180.0,4490.0,7,ZHO
-2202.9435727212867,4548.719265126217,7,ZHO
-2226.0112384360937,4633.829032447185,7,ZHO
-2230.0,4650.0,7,ZHO
-2255.0,4757.0,8,ZHO
-2255.563444751632,4759.639284069175,8,ZHO
-2275.2005162217715,4866.4697706876495,8,ZHO
-2279.0,4891.0,8,ZHO
-2306.0,5084.0,8,ZHO
-2308.642878740574,5104.291562808694,8,ZHO
-2324.505915725546,5237.617818872614,8,ZHO
-2333.0,5315.0,8,ZHO
-2333.2924469026657,5317.648779202535,8,ZHO
-2341.4896071278945,5391.152099217729,8,ZHO
-2358.0,5554.0,8,ZHO
-2358.590445227208,5560.087623406664,8,ZHO
-2375.840099480649,5740.5608433677935,8,ZHO
-2377.0,5753.0,8,ZHO
-2383.9510324519574,5834.873885387688,8,ZHO
-2387.0,5875.0,8,ZHO
-2401.0786482218546,6044.629523068111,8,ZHO
-2403.0,6069.0,8,ZHO
-2414.0,6224.0,8,ZHO
-2415.1853369512382,6243.118033541945,8,ZHO
-2420.0,6324.0,8,ZHO
-2422.1093167227364,6357.792501539314,8,ZHO
-2430.0,6483.0,9,ZHO
-2431.1054325717987,6502.73066697473,9,ZHO
-2436.0,6601.0,9,ZHO
-2438.194541331125,6651.521893443224,9,ZHO
-2444.0,6810.0,9,ZHO
-2445.4441973722055,6855.3153199350145,9,ZHO
-2448.0,6991.0,9,ZHO
-2448.0,7268.0,9,ZHO
-2447.7749447807146,7313.068104931668,9,ZHO
-2444.043762154777,7460.5747358726485,9,ZHO
-2442.0,7503.0,9,ZHO
-2434.0,7660.0,9,ZHO
-2433.68818465325,7665.467240901471,9,ZHO
-2428.0,7755.0,9,ZHO
-2421.358177660394,7842.963404462465,9,ZHO
-2399.0,8106.0,9,ZHO
-2398.459816409036,8111.969176994001,9,ZHO
-2382.9288965627006,8259.331621725487,10,ALO
-2376.0,8314.0,10,ALO
-2356.546635782255,8463.456012939203,10,ALO
-2355.0,8475.0,10,ALO
-2337.0,8603.0,10,ALO
-2333.8660186991115,8623.348743604709,10,ALO
-2310.0,8764.0,10,ALO
-2255.0,9054.0,10,ALO
-2254.200441251076,9057.969177392662,10,ALO
-2209.0,9261.0,10,ALO
-2181.4836302467315,9376.815330732134,10,ALO
-2138.0,9558.0,10,ALO
-2115.433196191631,9650.811948619898,10,ALO
-2109.0,9678.0,10,ALO
-2071.4064967353615,9841.253173282992,10,ALO
-2050.0,9936.0,11,ALO
-2033.76342345946,10009.582688553195,11,ALO
-2015.2370546275483,10092.823410969933,11,ALO
-2010.0,10114.0,11,ALO
-1990.0,10191.0,11,ALO
-1905.0,10422.0,11,ALO
-1881.011247302229,10454.241518476028,11,ALO
-1837.0,10506.0,11,ALO
-1818.5813296196563,10524.057309957258,11,ALO
-1769.0,10546.0,11,ALO
-1750.8060293407102,10551.851440012259,11,ALO
-1699.964598977652,10566.987969462156,11,ALO
-1696.0,10568.0,11,ALO
-1623.7077303280687,10584.388234524193,11,ALO
-1618.0,10586.0,11,ALO
-1537.0,10612.0,11,ALO
-1510.3683641625628,10621.849024885934,11,ALO
-1466.3957288933,10643.860572970794,11,ALO
-1442.0,10658.0,11,ALO
-1419.326817028011,10670.45401488753,11,ALO
-1392.0,10689.0,11,ALO
-1365.1742222379494,10710.332682513546,11,ALO
-1273.2559777006745,10790.267919632657,11,ALO
-1269.0,10794.0,11,ALO
-1235.167214174983,10824.691029226973,11,ALO
-1210.0,10864.0,11,ALO
-1201.808299088475,10877.184763358124,11,ALO
-1122.0,11009.0,11,ALO
-1098.5811579144158,11053.567867302036,11,ALO
-1087.5645771257468,11084.982989788696,11,ALO
-1086.0,11089.0,11,ALO
-1044.9396506491616,11194.434936174463,12,ZHO
-1042.0,11203.0,12,ZHO
-1001.3297129918802,11336.927140801272,12,ZHO
-981.0,11409.0,12,ZHO
-966.5364733049801,11461.404657602396,12,ZHO
-942.3434148912287,11560.79707341857,12,ZHO
-931.0,11608.0,12,ZHO
-889.0,11782.0,12,ZHO
-866.3249362748959,11869.548161503513,12,ZHO
-856.4092302576951,11909.758850033933,12,ZHO
-842.0,11974.0,12,ZHO
-792.0,12201.0,12,ZHO
-787.1693993855672,12223.255079167331,12,ZHO
-774.1991166386775,12288.09786710013,12,ZHO
-770.0,12312.0,12,ZHO
-739.0,12483.0,12,ZHO
-729.7552907653408,12536.060964673443,12,ZHO
-700.4039019329301,12710.765548209982,12,ZHO
-687.0,12792.0,12,ZHO
-679.1297874979055,12840.154112686585,12,ZHO
-653.0,13014.0,13,ZHO
-646.2874487555412,13061.231323720596,13,ZHO
-619.0,13256.0,13,ZHO
-610.1544386612215,13321.630430396413,13,ZHO
-603.0,13385.0,13,ZHO
-600.4989445181425,13408.16732367318,13,ZHO
-583.0640001111368,13590.274460989034,13,ZHO
-582.0,13604.0,13,ZHO
-566.8377804814388,13828.207634233544,13,ZHO
-566.0,13842.0,13,ZHO
-558.0765422412527,14006.70444375728,13,ZHO
-556.0,14113.0,13,ZHO
-553.3174300035616,14257.80845619011,13,ZHO
-552.0,14386.0,13,ZHO
-552.0,14468.0,13,ZHO
-553.177346475756,14554.78164256064,13,ZHO
-560.0,14802.0,14,ALO
-565.8003937933053,14904.329399029331,14,ALO
-573.0,14968.0,14,ALO
-595.0,15133.0,14,ALO
-600.962930678902,15169.304533653005,14,ALO
-629.0,15314.0,14,ALO
-649.4138299988927,15408.694951049878,14,ALO
-665.0,15478.0,14,ALO
-710.0,15671.0,14,ALO
-711.2089297098815,15676.147537666433,14,ALO
-744.0,15815.0,14,ALO
-757.0,15869.0,14,ALO
-758.0382588690449,15873.401213913585,14,ALO
-817.0,16139.0,14,ALO
-821.960583012705,16162.122259770995,14,ALO
-829.4077757315121,16198.705210965561,14,ALO
-835.0,16227.0,14,ALO
-845.48065413218,16278.715575528511,15,ZHO
-854.0,16322.0,15,ZHO
-870.0,16415.0,15,ZHO
-873.0096881881484,16436.91078582623,15,ZHO
-878.7781516109151,16499.267985884708,15,ZHO
-879.0,16504.0,15,ZHO
-878.0,16584.0,15,ZHO
-873.9518733867588,16612.498734620076,15,ZHO
-859.0,16654.0,15,ZHO
-858.558602309717,16654.914720347664,15,ZHO
-840.0,16687.0,15,ZHO
-814.60540145091,16714.65085731237,15,ZHO
-797.0,16728.0,15,ZHO
-628.0,16747.0,15,ZHO
-616.126464098511,16742.34349192127,15,ZHO
-596.0,16729.0,15,ZHO
-582.571470656437,16716.65056663972,15,ZHO
-556.0,16689.0,15,ZHO
-540.8640133203918,16668.917775501734,15,ZHO
-537.0,16662.0,15,ZHO
-509.4766968446969,16613.305595291673,15,ZHO
-504.0,16602.0,15,ZHO
-480.0,16543.0,15,ZHO
-473.609336037639,16525.778047749875,15,ZHO
-464.0,16496.0,15,ZHO
-461.7516000339857,16488.03316315975,15,ZHO
-438.45591116618243,16393.22486003905,15,ZHO
-431.0,16358.0,15,ZHO
-420.11264077024066,16290.667352854407,15,ZHO
-415.0,16247.0,15,ZHO
-408.5076295240278,16188.491953164286,15,ZHO
-405.0,16146.0,15,ZHO
-404.32591303520286,16136.165094636772,15,ZHO
-402.0,16100.0,15,ZHO
-392.0,15976.0,15,ZHO
-388.1970022469109,15938.49316131703,15,ZHO
-380.0,15869.0,15,ZHO
-362.0,15755.0,16,ZHO
-361.4261202149376,15752.052572211853,16,ZHO
-340.0,15657.0,16,ZHO
-334.7260141394572,15636.73836396049,16,ZHO
-310.0,15556.0,16,ZHO
-270.9624659967201,15444.511299953216,16,ZHO
-255.0,15400.0,16,ZHO
-222.39770210899445,15313.677308612205,16,ZHO
-205.0,15272.0,16,ZHO
-141.0,15118.0,16,ZHO
-134.80008675370522,15103.47911377654,16,ZHO
-97.0,15016.0,16,ZHO
-47.531857876133806,14898.806777063473,16,ZHO
-43.0,14888.0,16,ZHO
10.3456096901413,14760.701524526843,16,ZHO
48.0,14671.0,16,ZHO
76.52143577735889,14603.719956323343,16,ZHO
106.0,14536.0,16,ZHO
152.8975736800136,14428.469669679374,16,ZHO
205.0,14309.0,16,ZHO
223.3645287238875,14266.843761815739,16,ZHO
276.1776983079544,14145.257872329323,17,ZHO
302.0,14086.0,17,ZHO
377.0,13914.0,17,ZHO
394.27723854686906,13874.336954702483,17,ZHO
459.0,13725.0,17,ZHO
465.96489187485207,13708.9292649644,17,ZHO
512.0,13602.0,17,ZHO
525.8699851825437,13568.999205773875,17,ZHO
564.0,13477.0,17,ZHO
629.0,13322.0,17,ZHO
642.9365083585817,13288.409654155277,17,ZHO
713.2797846313642,13116.185789515572,17,ZHO
717.0,13107.0,17,ZHO
752.0,13020.0,17,ZHO
863.5524800893007,12733.591674783112,17,ZHO
873.0,12709.0,17,ZHO
914.1150093376139,12599.857437679935,17,ZHO
929.0,12558.0,18,ZHO
961.1334277364214,12464.912576179824,18,ZHO
992.0,12373.0,18,ZHO
1004.376539281363,12335.37953926359,18,ZHO
1072.0,12121.0,18,ZHO
1110.0,11994.0,18,ZHO
1120.9443854286808,11956.50770976028,18,ZHO
1156.0,11833.0,18,ZHO
1166.188977660129,11795.818090791541,18,ZHO
1213.0,11621.0,18,ZHO
1222.0,11588.0,18,ZHO
1261.7751736527453,11434.372612372737,18,ZHO
1285.0,11340.0,18,ZHO
1294.22645862653,11301.85585745874,18,ZHO
1317.0,11207.0,18,ZHO
1326.128475935528,11169.320143628749,18,ZHO
1362.0,11022.0,18,ZHO
1398.9743261458489,10866.68589340644,19,ZHO
1422.0,10769.0,19,ZHO
1455.4112722313205,10627.064853707987,19,ZHO
1466.0,10582.0,19,ZHO
1492.8191708586014,10467.53767500361,19,ZHO
1506.0,10411.0,19,ZHO
1566.552057657154,10150.400506987775,19,ZHO
1582.0,10084.0,19,ZHO
1611.5108356675323,9958.064773828562,19,ZHO
1635.0,9858.0,19,ZHO
1639.7689757011442,9837.438179289999,19,ZHO
1651.0,9789.0,19,ZHO
1690.1235297217327,9621.146448732432,19,ZHO
1749.0,9369.0,19,ZHO
1760.6373802542043,9318.864259060809,19,ZHO
1794.0,9175.0,20,ZHO
1811.304435123307,9101.761794745515,20,ZHO
1823.0,9052.0,20,ZHO
1880.0,8804.0,20,ZHO
1884.7895840864892,8783.076703893414,20,ZHO
1922.8294208289624,8616.744039272706,20,ZHO
1933.0,8572.0,20,ZHO
1994.0,8303.0,20,ZHO
2015.0763033709231,8210.092569495697,20,ZHO
2041.0,8096.0,20,ZHO
2058.3105508944395,8019.484050349531,20,ZHO
2082.0,7916.0,20,ZHO
2172.3653062473295,7534.082341722107,20,ZHO
2175.0,7523.0,20,ZHO
2209.0,7380.0,21,ALO
2248.508015294314,7216.729525865263,21,ALO
2270.0,7127.0,21,ALO
2284.6434276384452,7065.089648653074,21,ALO
2300.0,7000.0,21,ALO
2334.4811238961543,6855.556755883367,21,ALO
2347.0,6803.0,21,ALO
2388.180752778456,6629.010355037341,21,ALO
2434.0,6435.0,21,ALO
2464.4840423301193,6307.727378906207,21,ALO
2480.0,6242.0,21,ALO
2504.0,6139.0,21,ALO
2510.760503079019,6110.31157497428,21,ALO
2532.595939949884,6018.653709421276,21,ALO
2537.0,6000.0,21,ALO
2561.0,5895.0,22,ZHO
2561.640014720139,5892.0126067546535,22,ZHO
2576.7348930029416,5816.148856500734,22,ZHO
2586.0,5765.0,22,ZHO
2596.0,5706.0,22,ZHO
2597.425459559975,5696.891035614615,22,ZHO
2604.0,5613.0,22,ZHO
2603.986342201459,5610.343637991915,22,ZHO
2600.0,5502.0,22,ZHO
2597.5643664157838,5472.075311101943,22,ZHO
2589.9092665542544,5434.6917185512575,22,ZHO
2568.0,5397.0,22,ZHO
2561.7031674353366,5384.307053730088,22,ZHO
2550.0,5361.0,22,ZHO
2515.0,5302.0,22,ZHO
2507.0219943744673,5289.706363318786,22,ZHO
2478.3397681870993,5244.851218387776,22,ZHO
2472.0,5233.0,22,ZHO
2424.942582625873,5123.901268422301,22,ZHO
2415.0,5098.0,22,ZHO
2402.9373453204116,5053.36560907186,22,ZHO
2401.0,5021.0,22,ZHO
2395.434022513748,4885.278737985775,22,ZHO
2395.0,4869.0,22,ZHO
2399.0,4795.0,22,ZHO
2404.2724104263675,4746.491195822907,22,ZHO
2413.2035287906842,4670.821137148773,22,ZHO
2414.0,4665.0,22,ZHO
2428.0,4581.0,22,ZHO
2428.81793367236,4576.840959604282,22,ZHO
2471.6986561221547,4379.817559651349,22,ZHO
2473.0,4374.0,22,ZHO
2481.5865992603835,4336.869932965682,22,ZHO
2487.0,4317.0,22,ZHO
2513.0,4223.0,23,ZHO
2517.2352812235836,4207.824572704092,23,ZHO
2547.957754809626,4099.119566893629,23,ZHO
2566.0,4037.0,23,ZHO
2587.3585827889247,3964.980181070763,23,ZHO
2593.0,3946.0,23,ZHO
2621.795820695996,3848.6192377644315,23,ZHO
2641.0,3781.0,23,ZHO
2668.5499669128685,3678.3309169729923,23,ZHO
2681.0,3634.0,23,ZHO
2688.0,3610.0,23,ZHO
2709.287281379848,3530.817434956155,23,ZHO
2731.0,3445.0,23,ZHO
2755.7364144135686,3349.7697869795593,23,ZHO
2775.0,3276.0,23,ZHO
2816.0,3116.0,23,ZHO
2817.009973938035,3111.9501157145296,23,ZHO
2843.0,3007.0,23,ZHO
2851.040915405613,2975.467613313299,23,ZHO
2875.0,2883.0,23,ZHO
2886.7068035973775,2836.840510919946,23,ZHO
2925.0,2685.0,23,ZHO
2937.448424672303,2637.926904765713,23,ZHO
2963.0,2542.0,24,ZHO
2967.817330871815,2523.308738411886,24,ZHO
2996.0,2412.0,24,ZHO
3036.1361371643457,2261.8687971928152,24,ZHO
3043.0,2236.0,24,ZHO
3075.025317371531,2112.750705118516,24,ZHO
3082.0,2086.0,24,ZHO
3134.0428557656533,1889.3104422661625,24,ZHO
3142.0,1859.0,24,ZHO
3225.0,1535.0,24,ZHO
3233.570185670165,1500.3473456107645,24,ZHO
3279.0,1306.0,24,ZHO
3283.2269803032123,1286.8163052905304,24,ZHO
3318.0742157664085,1121.914148834556,24,ZHO
3337.0,1017.0,24,ZHO
3355.8329530732017,893.1219343937723,24,ZHO
3360.401394343638,859.305807208317,24,ZHO
