Minisector,PER,ALO,Fastest
0,306.3261905710053,298.3068730952381,PER
1,210.69279362044983,210.8504250496032,ALO
2,136.44185057324535,138.5574997165772,ALO
3,217.74559006407196,217.30293502408972,PER
4,152.3268646047916,162.8908155726077,ALO
5,171.74237594409277,170.32280050624084,PER
6,249.8039828088889,247.6392211499118,PER
7,277.98624473565405,275.4079731649123,PER
8,287.76676489680676,281.6571758010582,PER
9,264.69729106666665,252.9551927669841,PER
10,244.1464697000055,240.1139087472864,PER
11,243.99836487619046,243.24155869588702,PER
12,210.15917530848316,210.46348233630476,ALO
13,134.24288029984243,138.97578371833802,ALO
14,143.24268536154008,141.81564898102198,PER
15,175.86200478620705,173.3347488128,PER
16,254.78221137347867,246.62130883809522,PER
17,238.58741322666665,232.8877470104838,PER
18,109.90539307580396,112.53914991204309,ALO
19,192.8183142505301,188.61744968087405,PER
20,189.38344976143,193.14985950355054,ALO
21,231.3921449772171,231.43220217433768,ALO
22,271.1555288751839,270.22312635296703,PER
23,296.95230354043235,293.5956894541075,PER
24,313.5664732025308,310.3280974312088,PER
25,320.5875008,316.9687488,PER
