Minisector,PER,TSU,Fastest
0,289.44935696605796,286.6149453078261,PER
1,300.43806560253967,296.14850515547334,PER
2,306.9164931259259,301.58594910419754,PER
3,308.0173608177778,302.6419966632738,PER
4,191.01646146873176,186.40519988834055,PER
5,214.44377893084092,211.88362069948718,PER
6,264.985454017974,261.89322390044964,PER
7,270.5039359839286,267.2767958695527,PER
8,189.56026337038776,187.09077069948236,PER
9,155.96498331418297,157.46094862212172,TSU
10,183.56639168864152,173.8457534117802,PER
11,257.54360801941044,253.277013508817,PER
12,266.030166048,248.97534226600806,PER
13,231.22642501425383,223.88347303761884,PER
14,267.70397227644906,261.5475020374947,PER
15,164.645973398139,179.3160314514286,TSU
16,222.2879358184153,206.42134442282511,PER
17,230.50205241713985,249.89259086597656,TSU
18,135.75548665619922,134.54575662740837,PER
19,240.82246791040984,227.1006210978355,PER
20,277.44838452390024,272.3372286309554,PER
21,248.9562965782047,271.56969956,TSU
22,144.01680988932586,139.06854114978123,PER
23,212.18664862476464,197.37924311646353,PER
24,267.9760353890909,261.28865397599395,PER
25,,279.39444355555554,TSU
