Minisector,VET,STR,Fastest
0,286.920921064149,286.6217694887613,VET
1,297.36136360044895,299.0918190315671,STR
2,303.1700926074074,304.91263366843776,STR
3,303.5702430222222,305.42395824761905,STR
4,186.65672332095238,180.25975435219823,VET
5,206.99047375582916,212.38085261206803,STR
6,263.0526136910973,261.78159973103914,VET
7,266.81975877943904,258.70265637968254,VET
8,187.3448515048495,180.01636387337868,VET
9,149.68430175374624,139.97371895996378,VET
10,178.55172864589628,178.62746339148052,STR
11,255.3233172755983,257.1328758337046,STR
12,239.60525111628948,236.63297604161914,VET
13,218.93172159621625,223.6844778043721,STR
14,264.2939866600866,262.70975042258533,VET
15,171.38285003803847,163.0691018014645,VET
16,216.2678642873016,219.6816492,STR
17,232.99415997595236,230.19665827355277,VET
18,129.34384528109493,129.17693836934865,VET
19,236.26900305160467,238.2710283256917,STR
20,275.89269269466365,275.8471490628389,VET
21,231.4150036525597,221.63726418735558,VET
22,137.74139515761607,135.54755254366296,VET
23,206.79810982894477,207.80982635300137,STR
24,264.97108307499457,266.5186528747341,STR
