Minisector,VER,OCO,Fastest
0,300.60567100770976,293.07321443809525,VER
1,247.37159486081012,237.6620269429277,VER
2,180.33501486671074,190.54138484174118,OCO
3,261.2980016407499,260.5193444227032,VER
4,217.2188811308706,222.61767737081593,OCO
5,111.6404539033745,111.05448351599968,VER
6,173.54282509804713,164.5788068222794,VER
7,253.00631143733997,258.629098557594,OCO
8,289.90548152087274,286.11580914034613,VER
9,308.1901664258093,302.3854310509317,VER
10,315.73519923440864,304.35733893657726,VER
11,212.70935042970174,224.71159543043578,OCO
12,142.02709316173977,134.597783096489,VER
13,253.3956714976549,251.2875095113721,VER
14,290.03898284424093,287.94460787758044,VER
15,301.2126545619753,298.80795456969696,VER
16,293.41154135965365,291.4253119877268,VER
17,251.48173892948765,249.59796806258504,VER
18,179.33043669719473,178.441793803275,VER
19,179.11102153433967,175.45589526484736,VER
20,180.9918321187864,171.27689508281807,VER
21,239.85592459306667,241.44069542901565,OCO
22,117.47965671226184,118.6800438992422,OCO
23,192.82362910745516,193.42458000561516,OCO
24,274.59154452844945,272.65870402184703,VER
25,290.775510156694,286.0,VER
