Minisector,SAI,HAM,Fastest
0,316.08392667420895,313.1514567107648,SAI
1,323.4429915912868,319.4471454476367,SAI
2,320.0737337662338,312.2917597667909,SAI
3,173.76980440930058,191.38476517025333,HAM
4,131.66637870741943,128.98795271314955,SAI
5,262.35433333333333,262.1715065361004,SAI
6,296.05246245951145,294.80216938919796,SAI
7,308.0082738095238,306.8616796313398,SAI
8,259.0694323107953,271.5352441205628,HAM
9,145.85484459941912,143.41642607985753,SAI
10,214.70203863643843,221.36856635523938,HAM
11,215.92764081379744,214.37468705878788,SAI
12,196.18474471606825,195.54723559851539,SAI
13,266.07163991452893,260.3729807289932,SAI
14,301.9786461345672,298.0159084998633,SAI
15,311.1108964460606,307.04152079733336,SAI
16,265.8431165919414,269.9328820867245,HAM
17,209.55422797913835,212.34690267267985,HAM
18,272.1242658730159,273.2082435985053,HAM
19,304.079138676423,301.2520065234568,SAI
20,312.3552814095238,312.4313244030912,HAM
21,294.0595138888889,300.46478145049866,HAM
22,208.33171059379055,212.34872281883162,HAM
23,263.9376227157287,263.12788614939126,SAI
24,299.837819179352,295.37575757909826,SAI
25,310.6875008,307.2166670222222,SAI
