Minisector,OCO,HAM,Fastest
0,272.32795919774844,265.91659186668693,OCO
1,292.3969236021027,286.2019895750549,OCO
2,269.02184759259256,271.65469649230766,HAM
3,153.88721159441795,155.27001505354497,HAM
4,194.28856086629148,190.41592393484527,OCO
5,167.63763148839507,173.36883002198155,HAM
6,157.8368713331189,164.0713669519263,HAM
7,188.94413437908497,187.38370166278662,OCO
8,239.41105944151755,239.70283898553296,HAM
9,217.2903833150019,219.29401791230907,HAM
10,137.37948259452585,144.93065097669748,HAM
11,218.50089222128221,223.39537303675823,HAM
12,110.56909520038471,107.54538696499478,OCO
13,211.00423504449543,219.34911818449675,HAM
14,263.67687599891156,264.7655511767046,HAM
15,270.5570544216133,268.0138809268789,OCO
16,169.98465209933536,163.39236571504776,OCO
17,156.5931405739305,165.00266104421772,HAM
18,251.79931411128868,254.89661715446766,HAM
19,280.88914583141366,276.7937108391571,OCO
20,293.88332070175437,291.14612156479706,OCO
21,282.00306225452897,276.2419161928076,OCO
22,218.80932935520738,217.42816751239405,OCO
23,101.37420197598857,102.47570264783397,HAM
24,225.2609305940983,226.75528503947348,HAM
