Minisector,HAM,BOT,Fastest
0,267.9841705920667,270.071541341498,BOT
1,292.46540569949286,301.40837649781076,BOT
2,306.29474456380956,320.57117624615387,BOT
3,315.3197319968634,331.8876963463741,BOT
4,319.56488623999996,339.55831329862434,BOT
5,322.2859381000866,341.7695436952381,BOT
6,197.1181933733995,200.85151759701864,BOT
7,106.23062972774574,102.70583590119865,HAM
8,184.8119826522751,180.90546223824174,HAM
9,255.77372547666624,267.5854931733741,BOT
10,283.6452079466667,297.75880007757576,BOT
11,153.44151795952382,149.70176146580644,HAM
12,95.95182299283032,92.93347898713776,HAM
13,116.35064724649702,114.45997855505823,HAM
14,214.61753531374987,213.34124117867475,HAM
15,185.32214295497587,176.09112810270474,HAM
16,220.04705255619047,214.84178908610974,HAM
17,176.4747745802159,168.41840880646464,HAM
18,232.11166521777778,236.00922538832566,BOT
19,273.6834783881481,281.5077545972288,BOT
20,246.49219072249352,231.70202855355183,HAM
21,145.7685656903418,134.78420536540295,HAM
22,96.5687412318541,95.65627878673746,HAM
23,126.49610335089947,117.84453364035788,HAM
24,222.48047844119972,225.4960984043255,BOT
