Minisector,HAM,SAI,Fastest
0,267.9841705920667,267.4814833533333,HAM
1,292.46540569949286,297.8893619755742,SAI
2,306.29474456380956,316.48498987779595,SAI
3,315.3197319968634,328.8407274862632,SAI
4,319.56488623999996,335.2428030254545,SAI
5,322.2859381000866,334.4934703798601,SAI
6,197.1181933733995,213.44981817813107,SAI
7,106.23062972774574,104.2195090696469,HAM
8,184.8119826522751,188.62299472571428,SAI
9,255.77372547666624,256.1155253369423,SAI
10,283.6452079466667,282.7029160914286,HAM
11,153.44151795952382,162.05348572873564,SAI
12,95.95182299283032,93.53301424354672,HAM
13,116.35064724649702,113.65545461480647,HAM
14,214.61753531374987,208.58202860670707,HAM
15,185.32214295497587,179.71109637002073,HAM
16,220.04705255619047,221.4985959543195,SAI
17,176.4747745802159,174.031214973592,HAM
18,232.11166521777778,233.26888647169946,SAI
19,273.6834783881481,274.1425497060643,SAI
20,246.49219072249352,235.19896819542856,HAM
21,145.7685656903418,144.26736939834953,HAM
22,96.5687412318541,97.35656667819833,SAI
23,126.49610335089947,124.91979476882423,HAM
24,222.48047844119972,224.1624054380124,SAI
