Minisector,PER,BOT,Fastest
0,269.7806255418256,270.071541341498,BOT
1,300.07371066666667,300.57305934225775,BOT
2,321.06149357564425,319.49559936820515,PER
3,333.0429398192092,331.485003674014,PER
4,340.8208547938462,339.55831329862434,PER
5,345.73781244571427,341.7695436952381,PER
6,221.3726120810729,205.39022294233766,PER
7,102.62560044316633,102.19194707156902,PER
8,179.73868287647963,176.60257752029304,PER
9,260.2964750723597,264.68633361707157,BOT
10,297.23272686545454,296.5778475747186,PER
11,169.19537045532851,157.08885824,PER
12,95.4422718168413,92.0050097193698,PER
13,109.95170995713198,111.97230297774905,BOT
14,215.325688696,214.47460865301917,PER
15,181.18711699807778,174.25613963728168,PER
16,219.33758023659908,215.67512241944306,PER
17,169.2873116961134,167.13795742452382,PER
18,224.5839877523221,231.89562486459627,BOT
19,274.102151648254,280.418853720099,BOT
20,239.55021434052802,241.07667788700843,BOT
21,145.11986366350047,136.59508532825095,PER
22,94.25943294408506,94.76877876895968,BOT
23,118.99136039796397,115.5221448814011,PER
24,220.95803802222864,217.746805528341,PER
25,253.1,252.35833173333333,PER
