Minisector,PER,OCO,Fastest
0,269.7806255418256,267.2840756929972,PER
1,300.07371066666667,292.2921826816528,PER
2,321.06149357564425,305.9818872313725,PER
3,333.0429398192092,315.04458540055026,PER
4,340.8208547938462,320.9770450330734,PER
5,345.73781244571427,323.5512500148148,PER
6,221.3726120810729,216.9691166522567,PER
7,102.62560044316633,102.5013552799817,PER
8,179.73868287647963,182.940059608658,OCO
9,260.2964750723597,254.66804658354977,PER
10,297.23272686545454,286.18938269238095,PER
11,169.19537045532851,161.9456219412245,PER
12,95.4422718168413,95.37550344778987,PER
13,109.95170995713198,108.0029634582447,PER
14,215.325688696,212.00270929554284,PER
15,181.18711699807778,175.1111293598219,PER
16,219.33758023659908,221.37374651851852,OCO
17,169.2873116961134,167.75085074589583,PER
18,224.5839877523221,230.19357361171504,OCO
19,274.102151648254,271.3303639355844,PER
20,239.55021434052802,248.68247221032124,OCO
21,145.11986366350047,143.82871003905228,PER
22,94.25943294408506,93.68749063442178,PER
23,118.99136039796397,120.83935112411135,OCO
24,220.95803802222864,209.7907880710472,PER
25,253.1,249.35333461333335,PER
