Minisector,RIC,BOT,Fastest
0,271.43541223098913,270.071541341498,RIC
1,298.5761764392157,301.40837649781076,BOT
2,309.6799573005128,320.57117624615387,BOT
3,319.38589225589226,331.8876963463741,BOT
4,324.64143272442067,339.55831329862434,BOT
5,326.8993332622222,341.7695436952381,BOT
6,187.80334717355373,205.39022294233766,BOT
7,106.44827934051371,102.66875251204216,RIC
8,186.40164037013653,178.70168072777142,RIC
9,258.84434048888886,265.8307435526311,BOT
10,288.9251035813485,297.75880007757576,BOT
11,154.55010899044734,149.70176146580644,RIC
12,99.13077996680137,92.93347898713776,RIC
13,116.50248740884408,114.45997855505823,RIC
14,217.23708707225728,215.4467627412582,RIC
15,181.16659650174842,175.82321118969392,RIC
16,210.75731390696575,214.84178908610974,BOT
17,174.77396141103597,167.33773408166667,RIC
18,237.61383482867168,234.57404167578977,RIC
19,279.2241621008549,281.5077545972288,BOT
20,238.38739954466334,236.272843992658,RIC
21,143.62719022035856,135.6209402160152,RIC
22,94.51971326489219,95.30072323118189,BOT
23,125.80042835959827,118.08546696561162,RIC
24,220.90494485986616,224.14591276643625,BOT
25,255.2375,253.84999679999999,RIC
