Minisector,SAI,NOR,Fastest
0,248.20513572392156,258.66616437864906,NOR
1,122.87504881596284,131.5597641637816,NOR
2,205.78836035324673,202.031664431746,SAI
3,246.79142436569416,243.07748221074775,SAI
4,257.75948557206345,257.3724638401776,SAI
5,178.8211110271937,185.0299926069841,NOR
6,143.30059982447972,146.00920565077828,NOR
7,180.56075520241814,183.9697958760393,NOR
8,99.96410281623946,103.67116381643298,NOR
9,73.70771669431117,74.73630437043174,NOR
10,93.74848820142056,96.42174610120652,NOR
11,188.36438835428572,178.07317772190476,SAI
12,244.51975857884335,241.06064448358543,SAI
13,267.2746530466936,265.39675201088437,SAI
14,273.5605745964945,274.8107693128205,NOR
15,104.59177569283625,131.9689039763355,NOR
16,143.91039394438096,145.89083685413576,NOR
17,170.07947654451576,193.1197046505719,NOR
18,196.10075270775025,195.17871052365552,SAI
19,206.6817204688889,220.4356584142857,NOR
20,133.74839598142526,138.72894544642512,NOR
21,101.49531482877266,114.9471629997279,NOR
22,100.63146046945847,96.60739536876137,SAI
23,201.0896152735635,192.57996193303984,SAI
24,251.70163443543936,248.5249446387842,SAI
25,263.74999893333336,262.5375008,SAI
