X,Y,Minisector,Fastest
-1272.2258059917144,163.6660524310323,0,VER
-1294.0,225.0,0,VER
-1295.6478240354575,229.5945912065364,0,VER
-1350.0,378.0,0,VER
-1363.172698924324,413.3098345530133,0,VER
-1396.0,501.0,0,VER
-1409.1328605130539,536.3846550875297,0,VER
-1454.2477799374956,659.4543727987548,0,VER
-1492.0,763.0,0,VER
-1499.073605394805,782.3912371107014,0,VER
-1543.0,903.0,0,VER
-1600.0,1059.0,0,VER
-1601.487163029386,1062.9118813470586,0,VER
-1618.0,1106.0,0,VER
-1671.569816666171,1251.7147786278856,0,VER
-1698.0,1325.0,0,VER
-1726.511007295944,1403.7566406417486,0,VER
-1755.0,1482.0,0,VER
-1777.6263454207035,1543.8562783456262,0,VER
-1866.8180111751458,1786.6215485662426,0,VER
-1871.0,1798.0,0,VER
-1900.309402666852,1877.7846887376527,0,VER
-1958.0,2035.0,0,VER
-2045.0,2272.0,0,VER
-2047.7444245425124,2279.4747320035904,0,VER
-2122.9951348817376,2484.7410992020823,1,VER
-2126.0,2493.0,1,VER
-2165.911534588125,2603.7912180033236,1,VER
-2181.0,2649.0,1,VER
-2235.6374904106756,2840.939298507317,1,VER
-2244.0,2872.0,1,VER
-2305.0,3099.0,1,VER
-2343.7701800229224,3243.8630144901877,1,VER
-2365.0,3323.0,1,VER
-2382.9540325579937,3389.690788676951,1,VER
-2404.0,3467.0,1,VER
-2418.6528768392127,3519.8756928027915,1,VER
-2457.0,3657.0,1,VER
-2504.0,3830.0,1,VER
-2519.1125520323367,3884.870016542433,1,VER
-2569.0,4065.0,1,VER
-2610.7054133485035,4215.941287078561,1,VER
-2627.0,4270.0,1,VER
-2627.736071158571,4272.409580610786,1,VER
-2654.0,4357.0,1,VER
-2670.924633078835,4406.950672529459,1,VER
-2688.0,4451.0,1,VER
-2705.171609612596,4492.415041940184,1,VER
-2734.0,4556.0,1,VER
-2742.926668596928,4573.663782783302,1,VER
-2766.0,4615.0,1,VER
-2821.0,4691.0,1,VER
-2822.4290776569815,4692.564434698005,1,VER
-2850.0,4719.0,1,VER
-2915.0071022444117,4761.170268280711,2,VER
-2919.0,4763.0,2,VER
-2978.0,4782.0,2,VER
-2996.456086434433,4784.827217157826,2,VER
-3053.0,4783.0,2,VER
-3131.7912766838567,4767.409058946178,2,VER
-3143.0,4765.0,2,VER
-3182.9383844413765,4756.826398952568,2,VER
-3216.0,4752.0,2,VER
-3251.009336840712,4748.500845912608,2,VER
-3279.0,4747.0,2,VER
-3324.0,4749.0,2,VER
-3342.6445902951195,4752.701659388925,2,VER
-3418.0,4785.0,2,VER
-3434.0,4797.0,2,VER
-3448.579067986134,4812.143296755935,2,VER
-3460.0,4827.0,2,VER
-3471.4700711261366,4844.091703105849,2,VER
-3495.0,4891.0,2,VER
-3500.2084940187947,4905.81884145176,2,VER
-3510.0,4946.0,2,VER
-3514.0,4983.0,2,VER
-3514.5753775882085,5003.430171888111,2,VER
-3514.0931705789767,5059.715659766859,2,VER
-3514.0,5064.0,2,VER
-3512.6691864707827,5100.653896893539,2,VER
-3510.379268084985,5129.163814629278,2,VER
-3508.0,5155.0,2,VER
-3505.8332941521185,5177.879394027667,2,VER
-3501.0,5224.0,2,VER
-3498.0,5248.0,2,VER
-3497.8098301959585,5249.480376788347,2,VER
-3489.0,5312.0,2,VER
-3478.9679511385575,5369.963723197964,2,VER
-3456.931900690063,5486.2386116236785,2,VER
-3456.0,5491.0,2,VER
-3450.0988881955773,5519.87096945538,2,VER
-3441.0,5560.0,2,VER
-3400.0,5745.0,2,VER
-3394.148435524726,5772.594533016609,2,VER
-3374.858841515893,5870.048900822115,2,VER
-3361.0,5950.0,2,VER
-3351.6066325177007,6010.98083242635,2,VER
-3345.0,6067.0,2,VER
-3341.6073657253028,6101.181781456422,2,VER
-3337.0,6155.0,2,VER
-3334.4863861656545,6192.214743718799,2,VER
-3331.0,6300.0,2,VER
-3331.1741970441963,6326.830404813771,2,VER
-3334.0,6405.0,2,VER
-3334.9711260081313,6420.500661404207,2,VER
-3344.0,6524.0,2,VER
-3349.8354188130506,6581.71505952152,2,VER
-3353.0,6612.0,3,VER
-3362.609744909352,6702.302246941986,3,VER
-3368.0,6750.0,3,VER
-3377.9139353702903,6831.413488982139,3,VER
-3389.0,6917.0,3,VER
-3391.1557549391314,6933.3267917345,3,VER
-3410.0,7074.0,3,VER
-3438.0,7288.0,3,VER
-3438.44743451309,7291.457166367976,3,VER
-3459.0,7452.0,3,VER
-3471.79225659697,7551.197599469442,3,VER
-3475.0,7576.0,3,VER
-3497.0524481813145,7745.959483809254,3,VER
-3502.0,7784.0,3,VER
-3518.744690736758,7912.781854095967,3,VER
-3522.0,7938.0,3,VER
-3540.0,8078.0,3,VER
-3547.8248300935015,8137.573858849912,3,VER
-3566.0,8274.0,3,VER
-3566.558271783608,8278.21364012467,3,VER
-3581.3022372426726,8390.928331075573,3,VER
-3586.0,8429.0,3,VER
-3600.902408344694,8559.368365569624,3,VER
-3602.0,8569.0,3,VER
-3614.0,8677.0,3,VER
-3615.5030094695903,8693.19132123187,3,VER
-3624.0,8813.0,3,VER
-3631.0,8915.0,3,VER
-3632.2029958026706,8929.197952409235,3,VER
-3640.0,9000.0,3,VER
-3653.2730741827463,9066.680748620503,4,VER
-3663.0,9097.0,4,VER
-3713.0,9180.0,4,VER
-3726.921263812352,9193.916344196647,4,VER
-3752.0,9215.0,4,VER
-3796.852587994861,9244.134828158127,4,VER
-3873.0,9280.0,4,VER
-3907.997584346193,9294.855241819048,4,VER
-4026.0,9343.0,4,VER
-4060.546056800469,9358.623852973695,4,VER
-4100.0,9380.0,4,VER
-4145.4422012484965,9406.32052219712,4,VER
-4196.0,9442.0,4,VER
-4217.47162369501,9459.939092082614,4,VER
-4299.3429949615265,9539.172547730534,4,VER
-4341.0,9584.0,4,VER
-4387.872281186671,9640.938036553187,4,VER
-4434.365939823928,9719.342792219864,4,VER
-4455.0,9759.0,4,VER
-4490.773708447444,9831.774340785647,4,VER
-4494.0,9839.0,4,VER
-4519.0,9901.0,4,VER
-4523.943970454555,9914.33852207519,4,VER
-4565.0,10052.0,4,VER
-4573.8678763991265,10095.962490921687,4,VER
-4591.775968868145,10211.712652869415,4,VER
-4596.0,10246.0,4,VER
-4602.887047972401,10338.396096057277,4,VER
-4602.0,10412.0,4,VER
-4592.131625265702,10560.87314521227,4,VER
-4590.0,10581.0,4,VER
-4571.0,10690.0,4,VER
-4555.859571843226,10741.349267358435,4,VER
-4492.749184858575,10915.563698902544,4,VER
-4489.0,10925.0,4,VER
-4462.165603798214,10980.190832988526,4,VER
-4447.0,11005.0,5,MAG
-4422.032064894586,11046.765515386585,5,MAG
-4341.386024250201,11187.292214954243,5,MAG
-4323.0,11223.0,5,MAG
-4273.473406268831,11344.017628070505,5,MAG
-4255.0,11419.0,5,MAG
-4243.229648700338,11487.157676528434,5,MAG
-4232.0,11591.0,5,MAG
-4229.890550343692,11645.202388195325,5,MAG
-4231.0,11686.0,5,MAG
-4262.0,11958.0,5,MAG
-4262.719624878377,11962.675285665588,5,MAG
-4296.917740625799,12125.977588072858,5,MAG
-4338.0,12253.0,5,MAG
-4358.366800820486,12318.194421791837,5,MAG
-4409.697005254837,12470.947611809393,5,MAG
-4413.0,12479.0,5,MAG
-4464.325412380332,12575.86510920114,5,MAG
-4507.0,12626.0,5,MAG
-4589.616190510057,12695.778220266915,5,MAG
-4621.0,12715.0,5,MAG
-4718.104136373474,12760.98898136765,5,MAG
-4753.0,12779.0,5,MAG
-4853.0,12853.0,5,MAG
-4863.932247369338,12863.649269518804,5,MAG
-4915.0,12927.0,5,MAG
-5004.910171369683,13160.851404035182,6,MAG
-5015.0,13202.0,6,MAG
-5034.0467167137995,13327.523497754533,6,MAG
-5039.0,13400.0,6,MAG
-5041.254637903123,13455.277954117395,6,MAG
-5043.0,13565.0,6,MAG
-5043.133017403388,13581.38626536097,6,MAG
-5041.405301151747,13732.010422134152,6,MAG
-5041.0,13742.0,6,MAG
-5033.985177281381,13868.292004044948,6,MAG
-5031.0,13909.0,6,MAG
-5020.291848133399,14001.735388519697,6,MAG
-5014.0,14037.0,6,MAG
-4999.168119397542,14109.766693640982,6,MAG
-4978.0,14193.0,6,MAG
-4957.537608224368,14254.047422852545,6,MAG
-4941.0,14295.0,6,MAG
-4908.144506241335,14362.786163402967,6,MAG
-4867.0,14431.0,6,MAG
-4830.148286868399,14481.209837514354,6,MAG
-4753.0,14565.0,6,MAG
-4715.332068773823,14598.701977112663,6,MAG
-4651.0,14649.0,6,MAG
-4561.0,14709.0,6,MAG
-4537.498180167079,14723.104425383402,6,MAG
-4454.0,14770.0,6,MAG
-4451.244619528016,14771.522843627914,6,MAG
-4322.0,14842.0,6,MAG
-4319.4498435155265,14843.363907495894,6,MAG
-4217.0,14907.0,6,MAG
-4214.3744110002835,14909.165514805738,6,MAG
-4074.0,15044.0,6,MAG
-4052.313684087172,15067.290356640702,6,MAG
-4024.15949424606,15108.055420596911,6,MAG
-4010.0,15149.0,7,VER
-3945.0,15329.0,7,VER
-3944.1465635838586,15332.00763912466,7,VER
-3920.0,15444.0,7,VER
-3906.0,15522.0,7,VER
-3901.028875879239,15551.2486886391,7,VER
-3880.0,15677.0,7,VER
-3869.5174804545677,15732.014539371534,7,VER
-3842.0,15859.0,7,VER
-3841.2360865050005,15862.271398730223,7,VER
-3815.3551962893866,15967.442192974651,7,VER
-3806.0,16004.0,7,VER
-3780.4572900182193,16101.546892674518,7,VER
-3763.0,16164.0,7,VER
-3739.0,16244.0,7,VER
-3715.349275256377,16322.189671545484,7,VER
-3670.0,16475.0,7,VER
-3660.970182016742,16506.67918970254,7,VER
-3603.0,16742.0,7,VER
-3599.5571239312053,16759.42242101484,7,VER
-3587.0,16828.0,7,VER
-3575.1891681581938,16904.662015369508,7,VER
-3562.0,17004.0,7,VER
