Minisector,SAI,VET,Fastest
0,271.234992547297,269.7848008054106,SAI
1,243.74358052867726,252.71809686888014,VET
2,111.36754359276395,108.88456696958458,SAI
3,165.841985205154,166.97809884289777,VET
4,176.29425184063408,174.89345742636283,SAI
5,208.7504855293773,212.25738670441132,VET
6,266.81484094342846,270.1659402192306,VET
7,286.1321148795239,284.8556786327273,SAI
8,192.63587485201464,179.7553721659109,SAI
9,127.58895932934908,119.09404751303383,SAI
10,128.00711912592325,126.2772939242865,SAI
11,191.80875558767565,182.84941644919394,SAI
12,224.4085954110984,203.9552094508052,SAI
13,128.41977364318623,127.66382342719974,SAI
14,145.1874984594664,145.97187394576383,VET
15,120.69772087279686,121.96673274599327,VET
16,247.5340478422222,246.12916311380926,SAI
17,143.71981136172886,132.8169357096742,SAI
18,192.82112973480824,184.28065132954842,SAI
19,120.81442241966468,112.56616564488053,SAI
20,127.65145983290621,121.0104238164021,SAI
21,120.43731147691997,120.07326517799291,SAI
22,137.57532169604968,147.60864940684687,VET
23,224.51920189086601,215.64042079157747,SAI
24,234.0008189000397,233.9694044738756,SAI
