Minisector,LEC,OCO,Fastest
0,321.8195388016133,304.8300306217989,LEC
1,221.72922465190084,212.63717159695238,LEC
2,133.69624667870195,129.2361156007874,LEC
3,217.58476807064935,218.50114088877845,OCO
4,262.5077793643932,262.7416516967313,OCO
5,292.754895056201,285.78631952748486,LEC
6,311.50829569357575,298.62224696190475,LEC
7,274.2069015594987,251.83096997345015,LEC
8,161.77081539819795,164.35343368926127,OCO
9,238.64852592429835,238.97318410831,OCO
10,273.3450472358399,267.67923364495306,LEC
11,252.5161198240363,259.41114416342856,OCO
12,192.32422850862648,206.08687763929495,OCO
13,114.675891954967,124.78831915566998,OCO
14,120.17624303752177,121.22991435649702,OCO
15,145.77470383612254,152.8532840853855,OCO
16,133.83842966870262,120.40558385773649,LEC
17,235.91812450913955,223.81674285507762,LEC
18,167.01589051028813,162.46131897278306,LEC
19,168.68883699739885,157.45611364659442,LEC
20,245.69494779988793,241.64994785862433,LEC
21,275.9901871605636,269.73774393019744,LEC
22,298.6274219329293,289.47209371897435,LEC
23,315.88986122666665,298.6150343911111,LEC
24,326.63845682315593,305.60296247097347,LEC
25,,307.68421033969975,OCO
