Minisector,VER,BOT,Fastest
0,313.2436649632653,306.61128752592595,VER
1,223.7389670067999,234.31219005507705,BOT
2,128.4230684432807,120.74817404087291,VER
3,217.54224091728824,211.91644467532467,VER
4,262.8839700682508,258.8272115504214,VER
5,287.7038858238768,285.1575112112281,VER
6,303.9722427545098,295.17230408784314,VER
7,269.7812445865195,276.3702077288854,BOT
8,168.35032191261473,163.1098871978726,VER
9,237.66793462605364,234.7453489551297,VER
10,272.53273208857144,266.1465338352941,VER
11,246.9862971254189,256.34611438516293,BOT
12,199.35838473822903,198.9032888158329,VER
13,123.85966683683993,124.73501476805167,BOT
14,124.28018410209575,120.78999742462922,VER
15,157.6135853708636,151.34970482196078,VER
16,123.7725702224359,121.69974078686896,VER
17,224.18800416969697,224.34236272696714,BOT
18,166.7972190671781,172.51317041442937,BOT
19,152.4087839264564,153.7202867420106,BOT
20,241.82896656817292,241.97564281127902,BOT
21,274.84047646933334,269.23098569312174,VER
22,292.46722179386245,285.22874695161903,VER
23,303.3520834768254,295.34291656859426,VER
24,310.1556122049887,302.13318457142856,VER
25,312.2071424,303.71250026666667,VER
