X,Y,Minisector,Fastest
-4183.3661064963,-2134.7967250059774,0,VER
-4143.279175319415,-2293.133564186511,0,VER
-4124.0,-2369.0,0,VER
-4113.612676024354,-2409.6964340001414,0,VER
-4085.0,-2521.0,0,VER
-4083.812806012326,-2525.6396359692603,0,VER
-4046.0,-2673.0,0,VER
-4026.8035856693805,-2746.674932144257,0,VER
-3961.3719870797927,-2994.694378413677,0,VER
-3944.0,-3060.0,0,VER
-3903.0,-3211.0,0,VER
-3873.1921199407816,-3321.6300660104384,0,VER
-3817.0,-3531.0,0,VER
-3770.990927683931,-3703.29060609518,0,VER
-3763.0,-3733.0,1,STR
-3746.300734761148,-3794.6803017734924,1,STR
-3711.1682854579735,-3923.652467684929,1,STR
-3697.0,-3976.0,1,STR
-3679.744795388833,-4040.038272176275,1,STR
-3611.0,-4288.0,1,STR
-3609.0261045031493,-4294.783491866448,1,STR
-3539.5878586593476,-4528.092919726721,1,STR
-3536.0,-4540.0,1,STR
-3512.667726419804,-4615.795868199089,1,STR
-3500.0,-4652.0,1,STR
-3472.3957699695056,-4730.760876782846,1,STR
-3445.0,-4808.0,1,STR
-3440.7073628408134,-4819.891972275717,1,STR
-3388.0,-4943.0,1,STR
-3312.0,-5092.0,1,STR
-3303.1101212319263,-5108.932843359054,1,STR
-3278.4014939721046,-5151.697545063105,1,STR
-3264.0,-5167.0,1,STR
-3236.683722652173,-5203.080175622229,1,STR
-3212.0,-5234.0,1,STR
-3164.875204258327,-5282.048599615652,1,STR
-3135.0,-5307.0,2,STR
-3101.278748853574,-5331.79227974966,2,STR
-3075.0,-5348.0,2,STR
-3024.0,-5371.0,2,STR
-3022.5552752806184,-5371.524552682713,2,STR
-2971.0,-5386.0,2,STR
-2939.2376660309383,-5390.182630805512,2,STR
-2892.0,-5391.0,2,STR
-2878.4327696119794,-5390.373110936135,2,STR
-2830.900289012978,-5385.010063083323,2,STR
-2815.0,-5382.0,2,STR
-2763.4168261768627,-5367.482104157974,2,STR
-2754.0,-5364.0,2,STR
-2700.8121035281097,-5339.1019282643965,2,STR
-2697.0,-5337.0,2,STR
-2643.0,-5303.0,2,STR
-2641.6122275757657,-5302.032542518943,2,STR
-2599.0,-5270.0,2,STR
-2542.2302822427264,-5224.327518715642,2,STR
-2500.0,-5190.0,2,STR
-2460.2239746968794,-5157.823687661746,2,STR
-2425.0,-5131.0,2,STR
-2394.0,-5108.0,2,STR
-2385.2340764128994,-5101.718510769341,2,STR
-2332.497498352706,-5066.3094790576015,2,STR
-2295.0,-5044.0,2,STR
-2231.0,-5014.0,2,STR
-2199.885581897276,-5004.73178235394,2,STR
-2101.0,-4987.0,2,STR
-2044.8667740092885,-4989.171459328486,2,STR
-2010.0,-4997.0,2,STR
-1949.9305400389094,-5014.090373945988,2,STR
-1881.0,-5038.0,2,STR
-1835.6709815836941,-5055.514325075366,2,STR
-1752.0,-5089.0,2,STR
-1679.3018018531861,-5116.605360036694,2,STR
-1584.0,-5150.0,3,VER
-1573.4032042717508,-5153.657985964619,3,VER
-1507.0,-5175.0,3,VER
-1488.5073537222734,-5180.2352657733645,3,VER
-1339.0,-5219.0,3,VER
-1320.853127550859,-5223.428125203292,3,VER
-1172.0,-5248.0,3,VER
-1130.088428958084,-5252.154811180808,3,VER
-1069.0,-5255.0,3,VER
-835.0,-5241.0,3,VER
-831.2211879036925,-5240.569908904194,3,VER
-714.0,-5220.0,3,VER
-615.847044322198,-5193.225532448374,3,VER
-534.0,-5165.0,3,VER
-439.0,-5125.0,3,VER
-424.2265952730488,-5118.224938119573,3,VER
-345.0,-5079.0,3,VER
-218.21423214955612,-5001.226070356774,3,VER
-199.0,-4988.0,3,VER
-113.0,-4924.0,3,VER
-69.13878908831761,-4887.3038338387005,3,VER
-1.0,-4824.0,4,VER
112.44665844735589,-4701.875492775452,4,VER
156.0,-4649.0,4,VER
214.51523216896587,-4570.201741771553,4,VER
291.0,-4449.0,4,VER
326.0,-4387.0,4,VER
376.9749731729499,-4287.559770112355,4,VER
407.0,-4216.0,4,VER
460.1048163081365,-4066.5225493081966,4,VER
514.0,-3895.0,4,VER
538.398206145363,-3809.335894828197,4,VER
578.7679508611592,-3646.9999523159277,4,VER
589.0,-3604.0,4,VER
607.0342907188069,-3526.8319198822865,4,VER
617.0,-3486.0,4,VER
648.8816020545939,-3359.9797598158502,4,VER
685.0,-3219.0,5,VER
723.6364984145567,-3068.2701051040403,5,VER
746.0,-2978.0,5,VER
769.0829292619046,-2880.1408737763823,5,VER
786.0,-2809.0,5,VER
801.0,-2748.0,5,VER
847.4004420802081,-2554.4609624655614,5,VER
883.7546077404311,-2400.536134317808,5,VER
886.0,-2391.0,5,VER
912.0,-2281.0,5,VER
942.5210344983972,-2156.1690719161606,5,VER
966.0,-2061.0,5,VER
1010.0,-1885.0,5,VER
1016.7197877550308,-1858.363238287957,5,VER
1084.0,-1593.0,5,VER
1093.004543489604,-1557.6973576215657,6,VER
1121.0,-1449.0,6,VER
1121.813506456337,-1445.8343680266698,6,VER
1186.457920772477,-1192.829363250487,6,VER
1191.0,-1175.0,6,VER
1242.281804755967,-973.559420052635,6,VER
1270.0,-865.0,6,VER
1286.2732236839815,-802.0258204126301,6,VER
1298.1092547461317,-758.1196697868407,6,VER
1300.0,-751.0,6,VER
1365.3060582308874,-502.97232062089904,6,VER
1378.0,-455.0,6,VER
1409.7048134924821,-335.53053442299364,6,VER
1413.0,-323.0,6,VER
1445.5965788907886,-197.96506608662088,6,VER
1449.0,-185.0,6,VER
1490.9140881197363,-28.029316914153256,6,VER
1511.0,47.0,7,STR
1546.7375286596985,181.83480467069808,7,STR
1554.0,209.0,7,STR
1599.0,376.0,7,STR
1616.0398663020364,440.4243176480056,7,STR
1648.0,560.0,7,STR
1687.5441947253566,703.1304999484488,7,STR
1729.0,852.0,7,STR
1749.9671335777468,927.7278822023818,7,STR
1763.0,974.0,7,STR
1780.7674403936712,1035.4321355540192,7,STR
1820.0,1172.0,7,STR
1825.9250562490438,1193.0342064628578,7,STR
1874.0,1370.0,7,STR
1884.4105559634384,1413.4143269983351,7,STR
1895.0,1479.0,7,STR
1900.6339059943139,1570.9450998321288,7,STR
1901.0,1661.0,8,VER
1900.0,1690.0,8,VER
1896.8060829377812,1732.0075042814906,8,VER
1885.6601743590086,1809.0785096784525,8,VER
1877.0,1852.0,8,VER
1870.1050239426686,1880.843160935987,8,VER
1849.0,1951.0,8,VER
1840.0730089722808,1974.883879258785,8,VER
1819.0,2018.0,8,VER
1735.0,2135.0,8,VER
1732.8971003258346,2137.4689042960176,8,VER
1627.9014115410748,2225.1323826133635,8,VER
1619.0,2231.0,8,VER
1586.6746910967004,2251.95422240503,8,VER
1545.387519445519,2277.1605051256342,8,VER
1502.0,2299.0,8,VER
1430.0,2329.0,8,VER
1427.4543167001596,2329.931919609481,8,VER
1307.0,2366.0,8,VER
1233.0,2383.0,8,VER
1206.1784351735323,2388.40969829783,8,VER
1094.0,2409.0,8,VER
1014.546652913956,2420.5669027234117,8,VER
959.0,2425.0,8,VER
826.0,2430.0,8,VER
762.6340982000625,2430.8788359447376,8,VER
