Minisector,PER,TSU,Fastest
0,240.16259036428633,245.72491696294267,TSU
1,275.03391533968255,276.5162979265203,TSU
2,179.461293781949,166.5581505037794,PER
3,154.3316004024932,152.96471264573876,PER
4,255.98807595743304,256.04534754812335,TSU
5,274.2680750022777,255.53905837184266,PER
6,225.21335737574455,203.53714783876765,PER
7,198.06859061096935,191.5568823094368,PER
8,155.2619576749633,150.06308280221808,PER
9,213.13003543209788,203.48493895778907,PER
10,269.76191307421396,267.63719444648723,PER
11,118.10641864326472,121.26000432023578,TSU
12,204.8023275344876,208.44981213155555,TSU
13,271.6782489251196,274.09047585185186,TSU
14,292.58095203114925,305.17087007399505,TSU
15,301.6691820349863,320.11558473356723,TSU
16,243.02642872611833,260.3610455725714,TSU
17,132.87971651456175,123.22913655915882,PER
18,132.13922726492422,126.32213378404438,PER
19,122.32188391159657,121.62708890600206,PER
20,222.68101877076646,221.38887532856418,PER
21,252.70806929743404,247.11280403618304,PER
22,234.68857822711288,226.2680678365085,PER
23,213.50041303699405,205.16421184704186,PER
24,139.10853775706755,129.98535065381472,PER
25,,210.520832,TSU
