Minisector,VER,LEC,Fastest
0,248.46670519966312,244.58050756079123,VER
1,292.79055456053976,274.3050996065095,VER
2,170.47493332466416,180.5212285159718,LEC
3,166.09537005908962,161.01369378831586,VER
4,257.80134599599415,256.4112827265651,VER
5,264.8929823399553,265.9903984995904,LEC
6,220.03553245025728,222.95360910197303,LEC
7,191.33245164356126,205.3058414180405,LEC
8,155.80096034599833,158.13321517020344,LEC
9,210.1155461247668,212.3916793787548,LEC
10,270.73237983981556,269.3641927746562,VER
11,122.02328198342093,123.68534219410122,LEC
12,208.13850446170892,200.28501040848184,VER
13,277.00956527912166,267.56692363844155,VER
14,305.5258343995939,289.1047451274333,VER
15,322.1247780705096,298.01548402406013,VER
16,260.17072640678265,259.2738842688,VER
17,129.2582277575864,133.64182459282955,LEC
18,132.60550069647334,131.01549832257774,VER
19,119.62975269663309,126.47379430500318,LEC
20,224.86420520634923,216.7447558733227,VER
21,250.88778507889876,250.63048445185186,VER
22,225.98578318444368,237.64543290151383,LEC
23,207.1087165762605,209.9941336691358,LEC
24,135.4980324672097,135.58572586415715,LEC
25,215.925,209.0,VER
