Minisector,VER,VET,Fastest
0,248.46670519966312,237.36518489244176,VER
1,292.79055456053976,269.5606320022586,VER
2,170.47493332466416,175.74187797570173,VET
3,166.09537005908962,147.4529530571401,VER
4,257.80134599599415,256.8154580843867,VER
5,264.8929823399553,259.8366291166532,VER
6,220.03553245025728,212.5772856879746,VER
7,191.33245164356126,191.83142513195307,VET
8,155.80096034599833,152.17514033596402,VER
9,210.1155461247668,203.26734685857232,VER
10,270.73237983981556,269.70650298110263,VER
11,122.02328198342093,125.43437971265726,VET
12,208.13850446170892,203.41561399307574,VER
13,277.00956527912166,264.59167655691607,VER
14,305.5258343995939,284.90980548894595,VER
15,322.1247780705096,295.54918546365917,VER
16,260.17072640678265,266.3333451753035,VET
17,129.2582277575864,131.87043142907908,VET
18,132.60550069647334,129.9110263918312,VER
19,119.62975269663309,119.92494555731574,VET
20,224.86420520634923,218.10536142843824,VER
21,250.88778507889876,251.0392576573646,VET
22,225.98578318444368,239.47723917777776,VET
23,207.1087165762605,210.3652958674813,VET
24,135.4980324672097,129.2464232961295,VER
25,215.925,207.52986257777778,VER
