X,Y,Minisector,Fastest
1136.6145595273838,-1198.6638129789446,0,HAM
1127.9138601822178,-1201.0327960654627,0,HAM
1117.0,-1204.0,0,HAM
977.9417747150138,-1241.4810516498396,0,HAM
950.0,-1249.0,0,HAM
820.0,-1284.0,0,HAM
761.5448100129516,-1299.644104600135,0,HAM
573.0,-1350.0,0,HAM
386.34393638633645,-1400.2432025055791,0,HAM
339.0,-1413.0,0,HAM
139.98188727983782,-1466.8664023652257,0,HAM
81.0,-1483.0,0,HAM
-16.10681512388785,-1509.518711985759,0,HAM
-51.0,-1519.0,0,HAM
-288.0,-1583.0,0,HAM
-358.000117148692,-1601.778200855624,0,HAM
-428.89818705809085,-1620.5904380947047,0,HAM
-493.0,-1638.0,0,HAM
-635.0,-1677.0,1,STR
-654.1335958708163,-1682.1945197627244,1,STR
-902.2755200576202,-1748.4606546596124,1,STR
-919.0,-1753.0,1,STR
-1193.0,-1828.0,1,STR
-1230.7733016482523,-1838.344600708764,1,STR
-1325.3222912718838,-1864.3104913346772,1,STR
-1342.0,-1869.0,1,STR
-1441.0,-1897.0,1,STR
-1620.0,-1947.0,1,STR
-1675.274283890588,-1962.3408537029259,1,STR
-1905.566906179033,-2026.1691288252846,1,STR
-1923.0,-2031.0,1,STR
-2133.0,-2089.0,1,STR
-2154.252329861576,-2094.7956070474033,1,STR
-2326.0,-2141.0,2,STR
-2430.335943933013,-2168.4134423109845,2,STR
-2517.0,-2191.0,2,STR
-2559.362206266841,-2201.9435382762613,2,STR
-2648.0,-2222.0,2,STR
-2649.732205033271,-2222.3335932074274,2,STR
-2747.0,-2238.0,2,STR
-2806.233644140602,-2241.768794440462,2,STR
-2855.0,-2243.0,2,STR
-2915.486456551735,-2241.3276717107533,2,STR
-2948.0,-2237.0,2,STR
-2991.804678414775,-2228.9195394904577,2,STR
-3049.0,-2214.0,2,STR
-3078.3877043088023,-2203.0598442898067,2,STR
-3140.0,-2172.0,2,STR
-3141.8762468713694,-2170.9153409363494,2,STR
-3177.0,-2149.0,2,STR
-3201.666958864566,-2131.279809179608,2,STR
-3257.0,-2082.0,2,STR
-3365.0,-1917.0,2,STR
-3454.5038694817163,-1748.1484208511995,2,STR
-3462.0,-1734.0,2,STR
-3480.774059783268,-1699.0094266710212,2,STR
-3496.7135505092456,-1672.43497110814,2,STR
-3506.0,-1658.0,2,STR
-3565.4540072219334,-1568.5182632829944,3,STR
-3594.0,-1527.0,3,STR
-3651.0,-1446.0,3,STR
-3687.1000152241427,-1393.2957486714772,3,STR
-3740.0,-1315.0,3,STR
-3775.147995643544,-1262.5883509077219,3,STR
-3844.371714049337,-1158.2179323015305,3,STR
-3871.0,-1118.0,3,STR
-3927.4836487921293,-1032.959720426007,3,STR
-3958.0,-987.0,3,STR
-4013.0,-904.0,3,STR
-4014.774425951801,-901.3154659948847,3,STR
-4083.0,-798.0,3,STR
-4111.797193444993,-754.7543431605766,3,STR
-4151.0,-696.0,3,STR
-4241.692493934516,-558.5822402234111,3,STR
-4272.0,-512.0,3,STR
-4305.0,-461.0,3,STR
-4375.337266579479,-353.6241170754004,3,STR
-4462.0,-223.0,3,STR
-4522.841880459373,-131.4886506880195,4,STR
-4549.0,-92.0,4,STR
-4614.470725122877,7.285533255565413,4,STR
-4636.0,40.0,4,STR
-4706.833646853345,148.2833696434998,4,STR
-4724.0,175.0,4,STR
-4854.308716592296,380.8307301823856,4,STR
-4893.0,443.0,4,STR
-4922.658297811141,491.7463174891234,4,STR
-4962.0,561.0,4,STR
-5000.394293952898,628.1386836099324,4,STR
-5048.0,714.0,4,STR
-5071.033821601315,756.818370583848,4,STR
-5163.777971895029,933.3755520675109,4,STR
-5202.0,1007.0,4,STR
-5289.406696340331,1178.3325933929175,4,STR
-5326.0,1251.0,4,STR
-5335.606382378741,1269.9893686526073,4,STR
-5380.34693448461,1358.102916797218,5,STR
-5446.0,1491.0,5,STR
-5473.6322128191705,1547.2961916992297,5,STR
-5562.0,1728.0,5,STR
-5603.186011300739,1813.1123297665242,5,STR
-5627.085397077334,1865.4722918866773,5,STR
-5648.0,1910.0,5,STR
-5715.390091755923,2051.224895123032,5,STR
-5721.0,2063.0,5,STR
-5771.257314523635,2168.9586281729853,5,STR
-5776.0,2179.0,5,STR
-5859.672538067928,2357.1574083756086,5,STR
-5877.0,2394.0,5,STR
-5954.801678800919,2559.1429834386604,5,STR
-5986.0,2625.0,5,STR
-6046.883755556604,2750.660877063089,5,STR
-6085.0,2825.0,5,STR
-6091.348079215669,2837.7114505097747,5,STR
-6174.0,2991.0,6,HAM
-6211.069108502028,3052.339657036057,6,HAM
-6297.0,3191.0,6,HAM
-6358.5649503089335,3289.5225089078435,6,HAM
-6426.0,3386.0,6,HAM
-6462.728424003591,3436.6377421458265,6,HAM
-6555.0,3562.0,6,HAM
-6602.802556951084,3623.1903097722625,6,HAM
-6661.0,3691.0,6,HAM
-6809.0,3853.0,6,HAM
-6852.787425293143,3900.271246732911,6,HAM
-6943.018160855497,3993.7706500681015,6,HAM
-6964.0,4015.0,6,HAM
-7106.147473053824,4158.544889837805,6,HAM
-7213.0,4266.0,6,HAM
-7280.440265193953,4331.975209434713,7,STR
-7326.0,4376.0,7,STR
-7375.054328700528,4423.692750436487,7,STR
-7556.0,4600.0,7,STR
-7559.54197331814,4603.443973845353,7,STR
-7649.1541323761285,4689.8226613887055,7,STR
-7696.0,4734.0,7,STR
-7772.0,4806.0,7,STR
-7792.766262396239,4825.870023036089,7,STR
-7859.643896606076,4890.304050813824,7,STR
-7873.0,4903.0,7,STR
-7948.0,4973.0,7,STR
-7995.634544589557,5017.800260809908,7,STR
-8057.0,5076.0,7,STR
-8072.182198554405,5090.37489403026,7,STR
-8094.0,5112.0,7,STR
-8125.993286512808,5145.829240041344,7,STR
-8147.0,5169.0,7,STR
-8166.461241418117,5191.8262915138075,7,STR
-8190.380538950716,5227.884276115838,7,STR
-8199.0,5246.0,7,STR
-8224.0,5310.0,7,STR
-8232.081249119845,5336.893769105692,7,STR
-8232.0,5351.0,7,STR
-8233.231386086081,5381.972955893377,7,STR
-8230.0,5409.0,7,STR
-8223.506233759854,5430.136239924271,7,STR
-8192.0,5487.0,7,STR
-8184.997915071514,5495.731720624874,7,STR
-8146.225544875133,5529.720509526429,7,STR
-8139.0,5535.0,8,HAM
-8118.125993423202,5547.978973069061,8,HAM
-8103.0,5555.0,8,HAM
-8079.6461137777815,5564.9655580926,8,HAM
-8077.0,5566.0,8,HAM
-8034.836509291781,5580.154415172954,8,HAM
-8032.0,5581.0,8,HAM
-7990.0,5592.0,8,HAM
-7963.560803065272,5597.207284570811,8,HAM
-7926.0,5604.0,8,HAM
-7901.0,5609.0,8,HAM
-7894.631761427188,5610.101779731872,8,HAM
-7841.979003745193,5617.660994773357,8,HAM
-7801.0,5623.0,8,HAM
-7772.054719651614,5626.694185440325,8,HAM
-7720.447689361926,5633.089001193973,8,HAM
-7670.0,5639.0,8,HAM
-7668.357403321806,5639.186544150706,8,HAM
-7587.720228389574,5647.918971076848,8,HAM
-7526.0,5654.0,8,HAM
-7490.664308059746,5657.154769653992,8,HAM
-7446.299355672512,5660.648037834591,8,HAM
-7413.0,5663.0,8,HAM
-7317.0,5669.0,8,HAM
-7314.736500541846,5669.119309779187,8,HAM
-7254.0,5672.0,8,HAM
-7170.8268534922,5675.799841420176,8,HAM
-7128.0,5677.0,8,HAM
-6951.889094253664,5678.945419504716,8,HAM
-6943.0,5679.0,8,HAM
-6843.571472680124,5678.894618114614,8,HAM
-6805.0,5678.0,8,HAM
-6748.276022827968,5676.312474745432,8,HAM
-6639.0,5672.0,8,HAM
-6623.078676691252,5671.193589566067,8,HAM
-6520.0,5665.0,8,HAM
-6505.089677888138,5664.038179684627,8,HAM
-6352.5007094150515,5653.467403305597,9,HAM
-6194.36039274735,5639.181439188807,9,HAM
-6001.0,5615.0,9,HAM
-5996.20191871494,5614.352033626118,9,HAM
-5746.097304104706,5578.847983150339,9,HAM
-5678.0,5569.0,9,HAM
-5628.025770409669,5561.757402592917,9,HAM
-5582.0,5554.0,9,HAM
-5526.599139136001,5544.531470916695,9,HAM
-5309.0,5507.0,9,HAM
-5221.342506280543,5491.56003299841,9,HAM
-5100.0,5468.0,9,HAM
-5056.6027142156,5459.32457722788,9,HAM
-4955.0,5439.0,9,HAM
-4937.287310832526,5435.472056393479,9,HAM
-4767.492107328673,5401.73210747301,10,HAM
-4734.0,5395.0,10,HAM
-4540.836265700842,5355.913293504078,10,HAM
-4472.0,5342.0,10,HAM
-4426.5704529875675,5332.899883509882,10,HAM
-4381.0,5324.0,10,HAM
-4202.1368009942025,5288.476597329483,10,HAM
-4095.0,5267.0,10,HAM
-4012.6636149797514,5250.397724930354,10,HAM
-3886.0,5225.0,10,HAM
-3832.6884595384504,5214.568592555472,10,HAM
-3579.0,5170.0,10,HAM
-3539.55539324268,5163.886579870804,10,HAM
-3379.0,5140.0,10,HAM
-3299.633897629366,5128.5614236372785,10,HAM
-3145.0,5107.0,10,HAM
-3079.427821557899,5097.8432158593905,11,HAM
-2951.0,5080.0,11,HAM
-2881.1685768000866,5070.467998080808,11,HAM
-2758.0,5054.0,11,HAM
-2630.899400953016,5037.892225695356,11,HAM
-2597.0,5034.0,11,HAM
-2446.346277719029,5017.875581231996,11,HAM
-2340.0,5007.0,11,HAM
-2230.7427455831094,4996.5973642553445,11,HAM
-2130.0,4991.0,11,HAM
-1957.007492756523,4982.476821920798,11,HAM
-1903.0,4980.0,11,HAM
-1647.0,4971.0,11,HAM
-1642.8733162527224,4970.85847864282,11,HAM
-1529.0,4967.0,11,HAM
-1431.2354917098614,4964.609057174624,11,HAM
-1405.0,4964.0,12,STR
-1279.8271214899564,4960.876338655409,12,STR
-1172.0,4958.0,12,STR
-1067.5583274554067,4955.209465239612,12,STR
-1059.0,4955.0,12,STR
-971.7572187304824,4953.1054049644035,12,STR
-923.0,4952.0,12,STR
-887.0,4951.0,12,STR
-815.6982871914707,4948.734375347175,12,STR
-713.0,4945.0,12,STR
-698.1172580810938,4944.353489357772,12,STR
-621.7673659830601,4938.829463693221,12,STR
-580.324151591286,4929.094611059633,12,STR
-576.0,4928.0,12,STR
-515.0,4911.0,12,STR
-513.3131433474592,4910.432082424609,12,STR
-437.0,4876.0,12,STR
-364.22177597256865,4829.988860968167,12,STR
-360.0,4827.0,12,STR
-331.29655576081296,4803.805809434095,12,STR
-312.0,4781.0,12,STR
-307.9953376792002,4775.6098400642895,12,STR
-286.0,4742.0,12,STR
-277.540802101501,4725.268621444648,12,STR
-260.36759021522704,4671.507524572768,12,STR
-255.0,4648.0,12,STR
-251.0,4628.0,12,STR
-249.6962202828365,4620.073785518008,12,STR
-246.0,4571.0,12,STR
-245.77375150900698,4564.010010948592,12,STR
-251.79488867783004,4466.252622354005,12,STR
-253.0,4461.0,12,STR
-283.0,4372.0,12,STR
-302.7705353926948,4326.339306538242,12,STR
-340.0,4257.0,12,STR
-350.8913076795064,4238.873323451047,12,STR
-380.0,4194.0,13,STR
-398.58020981153015,4167.78761706952,13,STR
-426.0,4131.0,13,STR
-437.1467034623184,4116.409246462968,13,STR
-472.0,4072.0,13,STR
-533.0,3999.0,13,STR
-534.4189519631295,3997.40870896218,13,STR
-574.0,3955.0,13,STR
-647.0,3884.0,13,STR
-676.7491900369016,3858.065035563883,13,STR
-778.9510049412786,3776.2341200504984,13,STR
-802.0,3759.0,13,STR
-888.0,3703.0,13,STR
-890.2488887564049,3701.658706067901,13,STR
-1047.0,3615.0,13,STR
-1050.7915801736974,3613.1359958462226,13,STR
-1187.0,3552.0,13,STR
-1191.4512075002976,3550.227213027185,13,STR
-1433.0,3471.0,13,STR
-1468.7456117718227,3460.9785067278885,13,STR
-1546.527288742559,3442.38361562729,13,STR
-1633.0,3426.0,13,STR
-1749.0,3407.0,13,STR
-1767.8504844140462,3404.898130129643,13,STR
-1902.036473718305,3396.0550670233365,14,STR
-1976.0,3394.0,14,STR
-2129.602968634832,3399.282161961727,14,STR
-2195.0,3405.0,14,STR
-2248.3253500521646,3410.17101787487,14,STR
-2313.0,3417.0,14,STR
-2360.3768873711156,3422.37766447394,14,STR
-2446.0,3433.0,14,STR
-2612.644270016965,3458.3460318331904,14,STR
-2623.0,3460.0,14,STR
-2722.0,3476.0,14,STR
-2782.4083864259765,3486.293573483936,14,STR
-2922.0,3512.0,14,STR
-2984.305204496766,3524.3864193457734,14,STR
-3043.0,3536.0,14,STR
-3190.25879343696,3563.623722217539,14,STR
-3251.0,3575.0,14,STR
-3528.1792051345865,3619.9244711900255,15,STR
-3547.0,3622.0,15,STR
-3744.0,3642.0,15,STR
-3790.8208862930433,3646.343822352141,15,STR
-3867.524262366232,3649.6473427034252,15,STR
-3917.0,3644.0,15,STR
-3957.426708766424,3640.019893386445,15,STR
-4132.0,3620.0,15,STR
-4150.132979229061,3616.8131500339387,15,STR
-4269.930500651303,3584.621916162403,15,STR
-4340.559660672217,3555.027505832421,15,STR
-4369.0,3542.0,15,STR
-4397.633738384135,3527.889236561732,15,STR
-4448.0,3498.0,15,STR
-4481.175498337097,3474.4437143006535,15,STR
-4555.0,3413.0,15,STR
-4580.188440689618,3387.6976911738425,15,STR
-4621.0,3341.0,15,STR
-4659.277752062942,3289.7398608436943,15,STR
