Minisector,PER,RUS,Fastest
0,290.9402737735818,296.1496685717749,RUS
1,301.73105250807015,299.36093753333336,PER
2,275.67997778986665,276.1224825596922,RUS
3,107.7494541937983,108.21358784741,RUS
4,216.69337406258504,219.76927505326444,RUS
5,267.57986194511267,272.1172321968254,RUS
6,202.09279251857143,207.26261898675423,RUS
7,164.47619834208513,157.44556228062558,PER
8,204.81940626880674,189.35824688536798,PER
9,203.37418172298348,200.290034162513,PER
10,114.79364700512537,115.5660935638665,RUS
11,227.7745621937577,227.97876563352892,RUS
12,118.23913087954558,114.40756968169494,PER
13,221.75652198420966,218.60794694065956,PER
14,271.3266418389625,273.27191944746164,RUS
15,212.95378647352274,213.48352431157693,RUS
16,192.36979971599524,175.49771867338524,PER
17,239.3062275322864,233.0975850299312,PER
18,192.4161547869264,196.02058512966684,RUS
19,186.12286866235323,176.30273271003963,PER
20,263.6504424640542,263.27744451388605,PER
21,288.4368836949281,292.6063909774436,RUS
22,167.84367734590475,170.3284696183292,RUS
23,204.04043939684658,204.54165427309283,RUS
24,270.25309365439153,273.1928325157764,RUS
25,284.16,288.17500053333333,RUS
