X,Y,Minisector,Fastest
-418.20907429292396,1281.7916016783693,0,ALO
-421.0,1286.0,0,ALO
-437.8871925223564,1311.4605545853772,0,ALO
-496.07555190150464,1399.1897623006014,0,ALO
-533.0,1455.0,0,ALO
-593.8188183965603,1547.1356138600042,0,ALO
-605.0,1564.0,0,ALO
-754.0,1788.0,0,ALO
-773.3096049737587,1817.2316162170246,0,ALO
-792.0,1846.0,0,ALO
-813.6350188784726,1878.7290940189644,0,ALO
-898.3317865519956,2006.4788974830017,0,ALO
-900.0,2009.0,0,ALO
-977.0172246308634,2125.6783767265765,0,ALO
-1025.0,2198.0,0,ALO
-1089.0,2294.0,0,ALO
-1103.803707891436,2316.5107628056753,0,ALO
-1129.0,2355.0,0,ALO
-1184.2382242796168,2438.9049490497027,0,ALO
-1242.0,2526.0,0,ALO
-1298.462686738914,2610.6200874410533,0,ALO
-1332.0,2661.0,0,ALO
-1396.447479415781,2758.4750023191873,0,ALO
-1422.0,2797.0,0,ALO
-1462.912323977631,2858.299906632565,0,ALO
-1530.0,2960.0,0,ALO
-1546.0,2985.0,0,ALO
-1577.8674263618564,3033.8884659833425,0,ALO
-1663.0,3161.0,0,ALO
-1744.6963154837822,3284.9270760355303,0,ALO
-1762.0,3311.0,0,ALO
-1810.5206945452396,3383.415700374635,0,ALO
-1827.0,3408.0,0,ALO
-1929.6963402662839,3563.223578761569,0,ALO
-1940.0,3579.0,0,ALO
-2044.892879306584,3740.30235796609,1,TSU
-2046.0,3742.0,1,TSU
-2107.419828124007,3836.0682363142278,1,TSU
-2108.0,3837.0,1,TSU
-2156.0,3916.0,1,TSU
-2180.5477252472497,3959.3703039114102,1,TSU
-2193.0,3982.0,1,TSU
-2242.0,4075.0,1,TSU
-2244.337354395275,4079.9689086084836,1,TSU
-2263.0,4123.0,1,TSU
-2280.0,4168.0,1,TSU
-2291.3555777329657,4205.379960645334,1,TSU
-2301.0361551664373,4248.419234566376,1,TSU
-2303.0,4260.0,1,TSU
-2308.0,4311.0,1,TSU
-2308.0,4335.0,1,TSU
-2307.671799350496,4347.813712615781,1,TSU
-2301.0,4399.0,1,TSU
-2299.798706284832,4403.160380821487,1,TSU
-2283.2542289918756,4446.641384207484,1,TSU
-2279.0,4456.0,1,TSU
-2267.5660182755046,4475.30613553195,1,TSU
-2258.0,4485.0,1,TSU
-2250.949976231702,4491.341955818805,1,TSU
-2207.21451139241,4524.165081539101,1,TSU
-2189.0,4533.0,1,TSU
-2171.6051765859975,4538.994884075213,1,TSU
-2117.0,4548.0,1,TSU
-2104.3117559437305,4549.047162844527,1,TSU
-2071.7685506687612,4546.8565762837625,1,TSU
-2056.0,4544.0,1,TSU
-2004.7970513113721,4533.188210652245,1,TSU
-2004.0,4533.0,1,TSU
-1970.0,4524.0,1,TSU
-1945.8213579691264,4516.558206589204,1,TSU
-1904.0,4503.0,1,TSU
-1874.7649337225612,4493.035906561982,1,TSU
-1846.0341803208426,4481.73948867309,1,TSU
-1818.0,4470.0,1,TSU
-1787.0,4457.0,1,TSU
-1782.5354511012738,4455.126363300626,1,TSU
-1712.0,4424.0,1,TSU
-1635.0,4387.0,1,TSU
-1612.0066189321767,4375.806894465324,1,TSU
-1532.15358716311,4335.6036341667805,1,TSU
-1513.0,4326.0,1,TSU
-1499.0,4319.0,1,TSU
-1399.0,4268.0,1,TSU
-1365.4637797670064,4250.992524091595,1,TSU
-1289.0,4212.0,1,TSU
-1181.0,4156.0,1,TSU
-1163.6615188928893,4147.091426347314,1,TSU
-1115.9387899654262,4123.193473476769,1,TSU
-1064.0,4097.0,1,TSU
-1013.9678003796683,4071.4485636219997,1,TSU
-886.7174355045802,4006.0189410125495,1,TSU
-850.0,3987.0,1,TSU
-809.9770955911015,3965.8572356520062,1,TSU
-779.0,3949.0,1,TSU
-737.744949322756,3927.0162549249585,1,TSU
-645.6700876950767,3877.550467445366,2,TSU
-632.0,3870.0,2,TSU
-481.0,3783.0,2,TSU
-472.87028395420657,3778.2161547556057,2,TSU
-383.0,3724.0,2,TSU
-188.2499873510058,3598.074790858883,2,TSU
-173.0,3588.0,2,TSU
-88.51390648780561,3529.2713724066325,2,TSU
-73.0,3518.0,2,TSU
53.75192966230135,3425.2695003411186,2,TSU
70.0,3413.0,2,TSU
258.0,3267.0,2,TSU
326.2461798498984,3213.4560335604438,2,TSU
402.0,3150.0,2,TSU
436.8668138866235,3119.6316314599962,2,TSU
551.3960355221877,3018.1377572711754,2,TSU
566.0,3005.0,2,TSU
654.9616003668564,2922.088335719146,2,TSU
760.0,2816.0,2,TSU
962.016252541451,2611.021290079921,2,TSU
964.0,2609.0,2,TSU
998.9551344574276,2572.460855138011,2,TSU
1007.0,2564.0,2,TSU
1174.6027595913738,2389.1587751162997,2,TSU
1238.0,2323.0,2,TSU
1341.5407571844657,2214.227085655641,2,TSU
1414.0,2137.0,2,TSU
1537.0,2006.0,3,TSU
1546.65059298666,1995.7391999547683,3,TSU
1615.0,1923.0,3,TSU
1787.7696669298057,1737.6538862435996,3,TSU
1806.0,1718.0,3,TSU
1925.1263135939837,1588.651072150979,3,TSU
2032.5058902699407,1470.4217285017137,3,TSU
2042.0,1460.0,3,TSU
2126.388368898853,1367.6059147676265,3,TSU
2177.0,1311.0,3,TSU
2322.0996848737623,1144.9621026249954,3,TSU
2355.0,1108.0,3,TSU
2548.0,894.0,3,TSU
2605.6057303413936,830.7548107840901,3,TSU
2654.0,783.0,3,TSU
2696.7874942265253,742.4425293100028,3,TSU
2777.0,668.0,3,TSU
2820.919688421653,628.7004933102884,3,TSU
2915.126170823845,556.7287770539692,3,TSU
2975.0,523.0,3,TSU
3198.0,416.0,3,TSU
3235.4480177822356,397.97967883901845,3,TSU
3474.0,247.0,3,TSU
