Minisector,OCO,STR,Fastest
0,254.2583388277735,260.9417975697828,STR
1,131.3185630251708,127.29979744467609,OCO
2,259.44040971027135,254.13046863737273,OCO
3,306.86963050779906,301.0203406363215,OCO
4,306.0090037501133,301.03738017136584,OCO
5,313.4219907621399,305.52274570256407,OCO
6,318.7773931350427,311.5235999744,OCO
7,314.50529098783124,310.3903683889459,OCO
8,195.24520059298473,192.22033380578,OCO
9,188.8180243505964,187.74854897133383,OCO
10,188.49934590997165,186.05831786711596,OCO
11,166.838793796942,164.9549606815215,OCO
12,249.4731214736669,250.36778434116465,STR
13,264.2878149610009,275.0881221225616,STR
14,271.26251752994966,272.5605652590882,STR
15,268.43122755583266,266.47288303483873,OCO
16,176.1688965125513,176.66582302718615,STR
17,183.7475299482995,182.19580870282462,OCO
18,227.43127289583816,229.96928585090686,STR
19,281.38488008827585,280.5202569103785,OCO
20,307.5036303580965,305.23046889432544,OCO
21,317.37997618285715,313.23509613479854,OCO
22,315.5568103735403,312.6718729256861,OCO
23,231.5250062866353,253.34974481215093,STR
24,112.87763036667549,108.56461068357275,OCO
25,225.97500159999998,219.8249984,OCO
