Minisector,OCO,TSU,Fastest
0,254.2583388277735,251.30863130447716,OCO
1,131.3185630251708,124.74640101833411,OCO
2,259.44040971027135,259.84776449937857,TSU
3,306.86963050779906,304.1270347976,OCO
4,306.0090037501133,304.17733514432234,OCO
5,313.4219907621399,311.09455318574544,OCO
6,318.7773931350427,317.3273555683556,OCO
7,314.50529098783124,319.54070638526986,TSU
8,195.24520059298473,180.68894204670923,OCO
9,188.8180243505964,183.72050426030293,OCO
10,188.49934590997165,181.01870178543473,OCO
11,166.838793796942,161.55724845536622,OCO
12,249.4731214736669,247.77310130428572,OCO
13,264.2878149610009,271.78986456636943,TSU
14,271.26251752994966,269.20599110068963,OCO
15,268.43122755583266,272.4547689243171,TSU
16,176.1688965125513,171.95943908193297,OCO
17,183.7475299482995,181.67288939257915,OCO
18,227.43127289583816,226.30261054031746,OCO
19,281.38488008827585,281.4201256149104,TSU
20,307.5036303580965,307.17430539220777,OCO
21,317.37997618285715,316.1954244359553,OCO
22,315.5568103735403,316.5917007051247,TSU
23,231.5250062866353,272.43901042914126,TSU
24,112.87763036667549,105.12396194844573,OCO
25,225.97500159999998,220.3781232,OCO
