Minisector,STR,TSU,Fastest
0,260.9417975697828,251.30863130447716,STR
1,127.29979744467609,124.74640101833411,STR
2,254.13046863737273,259.84776449937857,TSU
3,301.0203406363215,304.1270347976,TSU
4,301.03738017136584,304.17733514432234,TSU
5,305.52274570256407,311.09455318574544,TSU
6,311.5235999744,317.3273555683556,TSU
7,310.3903683889459,319.54070638526986,TSU
8,192.22033380578,180.68894204670923,STR
9,187.74854897133383,183.72050426030293,STR
10,186.05831786711596,181.01870178543473,STR
11,164.9549606815215,161.55724845536622,STR
12,250.36778434116465,247.77310130428572,STR
13,275.0881221225616,271.78986456636943,STR
14,272.5605652590882,269.20599110068963,STR
15,266.47288303483873,272.4547689243171,TSU
16,176.66582302718615,172.63423388449965,STR
17,182.19580870282462,181.16510104478343,STR
18,229.96928585090686,226.30261054031746,STR
19,280.5202569103785,281.4201256149104,TSU
20,305.23046889432544,307.17430539220777,TSU
21,313.23509613479854,316.1954244359553,TSU
22,312.6718729256861,316.5917007051247,TSU
23,253.34974481215093,272.43901042914126,TSU
24,110.04808251979179,105.12396194844573,STR
25,,220.3781232,TSU
