Minisector,VER,TSU,Fastest
0,248.96537203504053,251.30863130447716,TSU
1,130.74571506904428,124.74640101833411,VER
2,263.313430202353,259.84776449937857,VER
3,300.2224474105381,304.1270347976,TSU
4,285.4122232444733,304.17733514432234,TSU
5,299.1978317858646,311.09455318574544,TSU
6,306.62573037831504,317.3273555683556,TSU
7,308.6568517536508,319.54070638526986,TSU
8,191.18900468640695,179.90679190793477,VER
9,193.88874493463888,184.55496630779413,VER
10,188.49817851473844,181.01870178543473,VER
11,179.55705752706788,161.55724845536622,VER
12,256.4982778097959,248.91603760900432,VER
13,274.93680380902737,271.1374771952442,VER
14,278.6458159080071,269.20599110068963,VER
15,269.05965913867993,269.53960996017315,TSU
16,189.39745967001406,173.0458280873982,VER
17,196.09077087754525,180.6097783060383,VER
18,238.55612771581826,226.30261054031746,VER
19,286.300588215805,282.6441903604726,VER
20,307.5706632393143,307.9126498491844,TSU
21,313.6654779541201,316.1954244359553,TSU
22,312.4621725873593,316.6511001881992,TSU
23,247.87704715761117,266.04886264589,TSU
24,114.65024270579626,104.73134169419849,VER
25,225.343752,220.3781232,VER
