Minisector,HAM,ALB,Fastest
0,277.55661612133923,276.20412872093516,HAM
1,300.0185710322909,299.2438947866932,HAM
2,291.47793478647344,295.6812210940741,ALB
3,168.23876062578495,167.13056476466807,HAM
4,117.34963261845421,117.66492894776935,ALB
5,236.4184976762407,239.48491174460435,ALB
6,292.0561565187846,295.76734345456094,ALB
7,311.91975238095233,312.324110385852,ALB
8,174.5243401996212,167.6836929886803,HAM
9,139.96828747478867,136.60785738842623,HAM
10,249.22853471650794,248.31646450864048,HAM
11,290.4120787781361,288.935539429418,HAM
12,306.9681001220767,301.28522403755994,HAM
13,280.52593003311966,273.5208730854603,HAM
14,298.5281003804124,294.3223429472464,HAM
15,304.07807560126986,294.15733974455026,HAM
16,249.81699094305867,243.4603207129502,HAM
17,224.01121587724057,223.30353426359272,HAM
18,281.68533997821305,286.8426396198347,ALB
19,313.0936248430487,318.2097872001031,ALB
20,321.60463133658584,323.819408957193,ALB
21,222.1014719161245,217.12693744520752,HAM
22,252.0565162094768,257.17330405033186,ALB
23,139.31712521628504,127.06157138934783,HAM
24,203.49772279318904,210.95769134891674,ALB
25,251.0,,HAM
