Minisector,HAM,ALO,Fastest
0,277.55661612133923,275.11970053352775,HAM
1,300.0185710322909,301.5471145950126,ALO
2,291.47793478647344,299.37941689096596,ALO
3,168.23876062578495,165.86373593684988,HAM
4,117.34963261845421,117.7880748194919,ALO
5,236.4184976762407,233.63456345834703,HAM
6,292.0561565187846,291.6147455412917,HAM
7,311.91975238095233,309.6134938324362,HAM
8,174.5243401996212,162.66548878871038,HAM
9,139.96828747478867,135.97830680679087,HAM
10,249.22853471650794,249.59368189737376,ALO
11,290.4120787781361,291.1528098402828,ALO
12,306.9681001220767,304.8108915033037,HAM
13,280.52593003311966,286.9275254158298,ALO
14,298.5281003804124,299.47476907150417,ALO
15,304.07807560126986,302.8279768450216,HAM
16,249.81699094305867,255.0087683319705,ALO
17,224.01121587724057,223.28048078844745,HAM
18,281.68533997821305,283.001391718789,ALO
19,313.0936248430487,311.39975172698416,HAM
20,321.60463133658584,315.88827393662336,HAM
21,222.1014719161245,218.1570268914803,HAM
22,252.0565162094768,254.54155333544034,ALO
23,139.31712521628504,130.99012192823628,HAM
24,203.49772279318904,202.23205498657907,HAM
25,251.0,255.0,ALO
