Minisector,NOR,PIA,Fastest
0,275.2636091471266,275.3691249689297,PIA
1,297.55233591111113,298.68489599343036,PIA
2,295.54012461491055,294.9225998053092,NOR
3,176.37358061225933,173.49163923483206,NOR
4,118.08752642575189,117.89675481037244,NOR
5,233.0601204846453,232.59246092326663,NOR
6,281.89779487022633,291.37575154349224,PIA
7,287.2026902837234,310.10615833162655,PIA
8,179.125840352363,180.82211738769197,PIA
9,139.52704108315714,133.78550660189205,NOR
10,247.91948777025638,245.01174244079056,NOR
11,288.34946636726846,287.5789456346269,NOR
12,302.7768819266476,301.9477090875392,NOR
13,287.4860486952997,282.9140268071222,NOR
14,298.38758942765486,296.53151660773455,NOR
15,300.26784739758733,300.3935752775208,PIA
16,257.48781830750124,257.61879612059244,PIA
17,236.04695958646076,227.43213965045504,NOR
18,276.28043789831105,275.3774827588744,NOR
19,296.60784168601873,300.2863569417123,PIA
20,303.3272513137148,307.06503658016493,PIA
21,237.00578567692588,226.82646223271067,NOR
22,263.87846069544975,255.87389916806157,NOR
23,138.96896801416582,131.39140954490443,NOR
24,209.44373073845682,207.05699874980726,NOR
25,,256.1166677333334,PIA
