Minisector,NOR,SAI,Fastest
0,275.2636091471266,277.210995002963,SAI
1,297.55233591111113,301.2312342095238,SAI
2,295.54012461491055,302.1008333866667,SAI
3,176.37358061225933,174.2084871397666,NOR
4,118.08752642575189,114.99169761111384,NOR
5,233.0601204846453,236.8621804245754,SAI
6,281.89779487022633,285.79232054943407,SAI
7,287.2026902837234,304.16328145888195,SAI
8,179.125840352363,177.32476803621634,NOR
9,139.52704108315714,134.77013859662858,NOR
10,247.91948777025638,246.23387252443501,NOR
11,288.34946636726846,290.1109673827973,SAI
12,302.7768819266476,304.23476986385964,SAI
13,287.4860486952997,284.98490616601475,NOR
14,298.38758942765486,295.5199166133333,NOR
15,300.26784739758733,295.6015391755514,NOR
16,257.48781830750124,255.44092962423386,NOR
17,236.04695958646076,218.27563720374104,NOR
18,276.28043789831105,275.0173108402116,NOR
19,296.60784168601873,301.486138799822,SAI
20,303.3272513137148,310.56377341234565,SAI
21,237.00578567692588,229.82209328655404,NOR
22,263.87846069544975,256.0309764673077,NOR
23,138.96896801416582,135.01898427578624,NOR
24,209.44373073845682,196.41546517195027,NOR
25,,254.40833279999998,SAI
