Minisector,VER,PIA,Fastest
0,275.23513734140954,275.3691249689297,PIA
1,294.4025836928139,298.68489599343036,PIA
2,290.3934620361157,294.9225998053092,PIA
3,181.30821515263747,173.49163923483206,VER
4,121.84511853946367,117.89675481037244,VER
5,231.86074682006512,232.59246092326663,PIA
6,281.03052414222225,291.37575154349224,PIA
7,292.77009702316883,310.10615833162655,PIA
8,180.14039350312171,181.5136967024705,PIA
9,141.31234137965973,134.3119086322857,VER
10,247.1846694654916,245.01174244079056,VER
11,285.1131944205848,287.5789456346269,PIA
12,295.04563509164024,301.9477090875392,PIA
13,283.36664120352737,282.9140268071222,VER
14,293.8589572509174,296.53151660773455,PIA
15,291.6587558273346,300.3935752775208,PIA
16,258.5581840302883,257.61879612059244,VER
17,237.76296541302682,227.43213965045504,VER
18,276.2471838448826,275.3774827588744,VER
19,294.03849568124673,300.2863569417123,PIA
20,292.8169572305366,307.06503658016493,PIA
21,240.78621387915484,226.82646223271067,VER
22,263.5867564989092,255.87389916806157,VER
23,132.4810816132237,131.39140954490443,VER
24,213.25711911037922,207.05699874980726,VER
25,,256.1166677333334,PIA
