Minisector,ALB,STR,Fastest
0,278.37427996414857,278.51955380796505,STR
1,117.6009055241031,124.7220337862707,STR
2,148.0856789245213,152.8884954489138,STR
3,208.21037302002887,215.046234309638,STR
4,160.70454356708666,156.7423555414644,ALB
5,240.45994401966036,240.02818841055384,ALB
6,197.98026637878198,221.68135797748917,STR
7,130.02248658634014,128.1197273501816,ALB
8,230.08595446810966,228.60891685068324,ALB
9,273.2941483915593,279.7804865725605,STR
10,286.17920783058827,286.26773689705277,STR
11,145.57560453825397,138.0467976611092,ALB
12,210.22902498097372,210.8932491948029,STR
13,266.55987024149397,266.8860720839506,STR
14,276.7906544101587,262.06824596,ALB
15,98.76290500634677,96.23046378124015,ALB
16,211.45346826589727,203.72224115389923,ALB
17,268.8665055777948,271.5784946733673,STR
18,293.8652426179663,300.3052162318851,STR
19,302.6094378936481,318.10854161333333,STR
20,309.92109707332145,328.38541659076924,STR
21,292.0154529357576,284.7733315700889,ALB
22,146.62530543333327,143.72805888047225,ALB
23,232.4414185274921,231.96213866020204,ALB
24,274.38718791111114,281.8874537713563,STR
25,286.76000256,298.6937472,STR
