Minisector,VER,OCO,Fastest
0,279.62195558941795,281.4089676927831,OCO
1,117.68878291760473,115.72424835681754,VER
2,156.49322277412168,161.41247366757904,OCO
3,209.16402356441205,200.6087653426384,VER
4,160.31208595017637,155.88813502168887,VER
5,241.43075967602124,241.6871248182857,OCO
6,231.60017610774614,196.63284773197816,VER
7,135.9542096155973,133.57649365531435,VER
8,233.6928457528757,226.8299095333738,VER
9,272.5917750559617,278.02387980682556,OCO
10,281.05590068888887,277.3697368421052,VER
11,148.00217381541125,137.48889091829474,VER
12,216.34772478747763,214.42703146666668,VER
13,267.10382885829176,264.7004738407935,VER
14,270.7260860177915,249.58318206126904,VER
15,102.2645033448912,95.53210910766758,VER
16,216.86552338934135,205.2528888888889,VER
17,270.2727616048892,270.10520275719085,VER
18,290.11911215574816,298.9156287419883,OCO
19,302.06264665681306,313.1583872053872,OCO
20,308.78260424,322.48281245333334,OCO
21,290.48456378695397,278.817545562328,VER
22,150.55844203930633,148.40575509506354,VER
23,227.9417706660691,240.37950930285714,OCO
24,271.5742713424455,284.3636719,OCO
25,283.67142948571427,,VER
