Minisector,PIA,RUS,Fastest
0,273.68317104110974,267.00072539577246,PIA
1,300.8629564495051,285.80543923714924,PIA
2,307.33037567222,288.6288145352765,PIA
3,121.3977966293976,121.16681496713424,PIA
4,184.12427575134086,192.70461909336112,RUS
5,255.72135764649818,244.99095891796114,PIA
6,132.6365092053457,139.88995501055504,RUS
7,189.49516080328533,204.08257635451898,RUS
8,253.22198208435375,255.22136670155388,RUS
9,278.7325826913851,273.46800945945995,PIA
10,231.10667858388214,223.71674110753247,PIA
11,164.0705433634938,181.03530511044025,RUS
12,185.01443074563377,188.5287489780254,RUS
13,143.86297157855884,148.44848035019496,RUS
14,171.68319991721043,173.11333381587303,RUS
15,160.9304902700748,159.48725895078076,PIA
16,208.58382834659523,208.03633119691622,PIA
17,233.626216301296,223.79718386763525,PIA
18,233.75703873177002,228.58079682186437,PIA
19,234.6409169066667,245.0676619697391,RUS
20,142.93864448685275,146.90618227345865,RUS
21,130.53439089048138,138.0316629192981,RUS
22,160.4645767161354,161.7930066412151,RUS
23,149.65166068690823,151.34213691312468,RUS
24,224.2182306649785,221.0803784884322,PIA
25,250.70909323636363,252.06944711111112,RUS
