Minisector,VER,RUS,Fastest
0,269.1423719471623,267.00072539577246,VER
1,289.47643242718885,285.80543923714924,VER
2,298.76043951048206,288.6288145352765,VER
3,128.46152340888906,121.16681496713424,VER
4,195.28709145171513,192.70461909336112,VER
5,253.4258778031746,244.99095891796114,VER
6,140.19296480178593,139.88995501055504,VER
7,201.38553349004144,204.08257635451898,RUS
8,257.46729092396606,255.22136670155388,VER
9,283.3996861245772,273.46800945945995,VER
10,236.79527429943965,223.71674110753247,VER
11,185.25700829547102,181.03530511044025,VER
12,183.4330721905028,188.5287489780254,RUS
13,149.99518850740182,148.44848035019496,VER
14,174.80001866021504,173.11333381587303,VER
15,163.77897728989294,159.48725895078076,VER
16,214.25927477285038,208.03633119691622,VER
17,239.37804700813186,224.77895434514167,VER
18,242.30806634855546,227.31075717277116,VER
19,249.28450711143088,245.0676619697391,VER
20,144.25368881605914,146.90618227345865,RUS
21,137.0690603917355,138.0316629192981,RUS
22,166.74389468354732,161.7930066412151,VER
23,152.97394454999272,151.34213691312468,VER
24,226.5714913466834,221.0803784884322,VER
25,,252.06944711111112,RUS
