Minisector,ALO,BOT,Fastest
0,318.83279565343884,316.1644002429052,ALO
1,329.09509175071014,325.2021963687619,ALO
2,331.86310722742854,322.45658109014073,ALO
3,186.97985992871457,189.82981070506028,BOT
4,106.08646651292044,120.87733748637532,BOT
5,263.2609557148361,262.6141516266667,ALO
6,299.32659853494766,296.51432892563736,ALO
7,314.80742627361343,311.45452418315784,ALO
8,269.37062123698473,279.968289947013,BOT
9,135.94732568440827,137.10552037540052,BOT
10,213.12334013793102,208.2186320382894,ALO
11,201.18281175237942,206.78742968271257,BOT
12,184.56185442223486,188.6164594981108,BOT
13,265.9355594109091,262.8506451126022,ALO
14,301.60488857790324,300.35076753684206,ALO
15,315.4015418219302,314.1781286474854,ALO
16,251.76720062984128,258.41910765393175,BOT
17,204.38043583022912,200.86173571680317,ALO
18,271.12358186949746,266.99956803675275,ALO
19,305.5510015381396,303.4257566,ALO
20,320.31089996973463,315.2210597925471,ALO
21,300.4964624494087,298.8874710740097,ALO
22,198.02118087974603,195.739941886293,ALO
23,259.3195331390476,262.22151729490685,BOT
24,299.8656433424321,298.32213910150966,ALO
25,,309.24375,BOT
