Minisector,PER,SAI,Fastest
0,320.94986983238687,317.5637437154346,PER
1,329.75214862079173,326.00904966469506,PER
2,326.4935070336508,321.83153778442147,PER
3,200.50354819839953,184.17600921255888,PER
4,111.32743790983294,125.8892529988628,SAI
5,262.820875086011,261.59980368501596,PER
6,299.95568001567943,298.62520737501507,PER
7,317.1204462072596,312.49854831918975,PER
8,266.6742480988523,268.1770744383261,SAI
9,138.2991544347473,139.31340684357752,SAI
10,214.34240190483342,209.55782793224708,PER
11,204.32048704487622,208.70836936001325,SAI
12,189.55336421541858,195.2709429312198,SAI
13,264.9755654184127,264.2612226294954,PER
14,300.90005143947894,300.25507889802554,PER
15,316.10194527982685,312.4031627164444,PER
16,257.50718529400933,262.2248659856438,SAI
17,204.33319377597545,210.03768321611975,SAI
18,271.9007567329041,269.9690320943359,PER
19,306.97059766795576,304.38215251809527,PER
20,322.4752896442931,315.57901158466467,PER
21,309.30903438776335,300.17487593645706,PER
22,204.04591545804013,202.9817279100587,PER
23,260.51368481269844,261.2346729635368,SAI
24,300.83561568312825,299.4685737076887,PER
25,312.9428571428572,310.425,PER
