Minisector,RUS,NOR,Fastest
0,318.03630268478054,317.5793835140314,RUS
1,328.43404613132833,325.31309526095237,RUS
2,328.20205620037194,329.18408228786035,NOR
3,187.29258256868482,192.17159214192088,NOR
4,126.0733040174544,116.18429370933603,RUS
5,263.29019682905056,261.6994014791563,RUS
6,300.6544013991342,297.9327158284706,RUS
7,314.1330128,307.61430559999997,RUS
8,267.48490005707004,253.33570576876522,RUS
9,138.85128748018684,139.6340003640499,NOR
10,211.85126349871354,209.75373326393026,RUS
11,206.87507452527538,205.44852193658474,RUS
12,186.54075878565197,187.27642222519063,NOR
13,263.29435274352215,270.6745796169143,NOR
14,301.7223735044156,310.72294065247087,NOR
15,313.90156633040414,328.104052848735,NOR
16,264.51979444627375,253.8130840730508,RUS
17,208.08356771416035,214.47264688923477,NOR
18,270.1545586269553,269.72484501044585,RUS
19,308.4036684988988,304.227434244039,RUS
20,319.85662514726266,313.3098760444444,RUS
21,304.4281156791797,289.80953737655557,RUS
22,201.22956675917533,201.2286190806349,RUS
23,255.745977936734,263.1789225870759,NOR
24,300.2811744833016,299.3358338805797,RUS
