Minisector,NOR,ALO,Fastest
0,280.3678302693428,277.2081637285532,NOR
1,297.06990300416334,295.28296885428574,NOR
2,293.6058928304762,293.5272586020834,NOR
3,179.8584346968978,175.11133978737575,NOR
4,215.85385607628862,208.64163574718617,NOR
5,202.7629560207663,191.5595962188633,NOR
6,180.8539036241903,176.65710023622324,NOR
7,202.99314155291657,195.9385116829975,NOR
8,256.06271517719415,246.89804248814815,NOR
9,269.10138423596044,259.41673690652306,NOR
10,169.66634325841218,165.58496973963523,NOR
11,238.7482314756765,232.44317598864333,NOR
12,113.33405150978051,118.39672775431858,ALO
13,218.39925474528027,222.32829019184052,ALO
14,274.3270505720146,272.4384055809524,NOR
15,292.46985029841267,289.63905863618294,NOR
16,219.43354085436752,205.43384241777778,NOR
17,185.50417932222527,178.38842827083616,NOR
18,264.4041595198984,261.7553690446887,NOR
19,290.49214803371905,289.603297208628,NOR
20,302.25728390977446,302.28681557079364,ALO
21,301.45232782608696,303.2345488845773,ALO
22,253.3646294453928,267.15862734592594,ALO
23,117.40578351800926,111.59893973800456,NOR
24,235.9542690676187,233.7467603615661,NOR
25,267.8625024,263.9236124444445,NOR
