Minisector,NOR,RUS,Fastest
0,280.3678302693428,278.02680203290043,NOR
1,297.06990300416334,295.19748503279527,NOR
2,293.6058928304762,289.3108656278021,NOR
3,179.8584346968978,174.3019174037694,NOR
4,215.85385607628862,206.4442903156727,NOR
5,202.7629560207663,188.98697073114337,NOR
6,180.8539036241903,168.8527140992386,NOR
7,202.99314155291657,195.52300764767458,NOR
8,256.06271517719415,246.59507312306985,NOR
9,269.10138423596044,258.72080673165465,NOR
10,169.66634325841218,169.24111936296566,NOR
11,238.7482314756765,227.34550181802084,NOR
12,113.33405150978051,108.64519654915816,NOR
13,218.39925474528027,210.3357513527674,NOR
14,274.3270505720146,271.6635676376385,NOR
15,292.46985029841267,287.59393773306215,NOR
16,219.43354085436752,210.3470544921147,NOR
17,185.50417932222527,178.65589275402758,NOR
18,264.4041595198984,263.3566162733993,NOR
19,290.49214803371905,288.7637386856189,NOR
20,302.25728390977446,300.46211650074076,NOR
21,301.45232782608696,296.9693203953243,NOR
22,253.3646294453928,255.69612054896723,RUS
23,117.40578351800926,115.792241977271,NOR
24,235.9542690676187,233.15403437339518,NOR
25,267.8625024,,NOR
