Minisector,PIA,HAM,Fastest
0,284.1137739585327,277.7762532628048,PIA
1,300.1119387492668,296.1348467898763,PIA
2,300.98560093315194,291.3437072663953,PIA
3,167.4050234373249,179.06655783297967,HAM
4,215.21899693860263,217.0345099181337,HAM
5,193.87882452410383,200.79596125310923,HAM
6,176.4440685472548,182.71961784407162,HAM
7,200.3618644082251,201.26196694167012,HAM
8,251.5896460341073,254.47407585525036,HAM
9,261.82639944134013,262.70757712459516,HAM
10,164.44627722234014,167.3267278392579,HAM
11,235.79776691423092,233.05582779249593,PIA
12,116.59562203200412,106.69061455547701,PIA
13,219.15191510083437,219.97107384376957,HAM
14,278.8287280209078,274.56099748286766,PIA
15,294.3031664090383,288.7680270990843,PIA
16,203.21780776547524,207.1886221896953,HAM
17,177.17476676429183,182.27511186077726,HAM
18,266.33140609652077,263.26381510119677,PIA
19,292.41928271030304,289.9924387724387,PIA
20,304.5466173570695,299.94784733174026,PIA
21,304.94910222388097,300.67836155026527,PIA
22,275.133610092588,264.33040601904764,PIA
23,112.54225713739176,117.76157053111422,HAM
24,233.45107425020282,238.20668189673657,HAM
