Minisector,PIA,LEC,Fastest
0,284.1137739585327,282.37971085687803,PIA
1,300.1119387492668,299.570410730284,PIA
2,300.98560093315194,293.9512031924544,PIA
3,167.4050234373249,169.61960263667453,LEC
4,215.21899693860263,216.97183358653174,LEC
5,193.87882452410383,196.2394728625294,LEC
6,176.4440685472548,174.95058761879187,PIA
7,200.3618644082251,199.89491850525727,PIA
8,251.5896460341073,252.26980868002383,LEC
9,261.82639944134013,264.84622327238094,LEC
10,164.44627722234014,163.752939061888,PIA
11,235.79776691423092,233.94806585526575,PIA
12,116.59562203200412,112.33818421879289,PIA
13,219.15191510083437,225.8143659123884,LEC
14,278.8287280209078,276.55446844557724,PIA
15,294.3031664090383,293.4332961,PIA
16,203.21780776547524,204.70572119264182,LEC
17,177.17476676429183,184.11337522739078,LEC
18,266.33140609652077,260.6507581554669,PIA
19,292.41928271030304,292.0693109044346,PIA
20,304.5466173570695,303.7369124537987,PIA
21,304.94910222388097,304.92100273724867,PIA
22,275.133610092588,266.1661533461163,PIA
23,112.54225713739176,112.87963620159736,LEC
24,233.45107425020282,234.13293005820105,LEC
