Minisector,VER,GAS,Fastest
0,280.9655962030602,293.3296253631862,GAS
1,296.5437572635268,315.81542425767407,GAS
2,297.8885415238095,304.0803644062338,GAS
3,187.9826541287204,176.4275828362056,VER
4,220.3511936767231,211.5541738722033,VER
5,205.65343603384704,195.98405565622323,VER
6,183.07429498404073,171.45710993054308,VER
7,208.92777813525998,198.46563091559378,VER
8,257.28673468272785,252.20476124178046,VER
9,269.59321872231885,253.11404781986917,VER
10,172.41479623682739,164.59255735203016,VER
11,238.3948084028147,231.31258343663123,VER
12,118.71195619445432,115.25095738751217,VER
13,220.08847062154004,222.7087139322428,GAS
14,275.40922013724315,276.3870510641822,GAS
15,288.91927405714284,285.6866668495238,VER
16,220.20390202954258,203.1815689176104,VER
17,182.1513629707196,180.4492451462518,VER
18,263.75276723741257,265.1303397574051,GAS
19,290.7366480608192,289.63069488954056,VER
20,302.3314066922124,300.5086825396826,VER
21,302.079621767565,302.05472051279503,VER
22,273.5047477920099,268.8409382541759,VER
23,117.78703005736239,112.24203030045045,VER
24,238.81224657493652,236.31413394429984,VER
25,,267.4562496,GAS
