Minisector,LEC,OCO,Fastest
0,281.16509490784756,280.8116851749074,LEC
1,140.9995821873924,145.41788506359376,OCO
2,218.09368299109232,214.70577301669476,LEC
3,284.83063833925235,277.3147905709037,LEC
4,320.9527356735352,305.41287465109355,LEC
5,307.28530653998047,295.87080676557076,LEC
6,149.15110610492636,148.06093137095516,LEC
7,237.45472132155626,229.15894110751836,LEC
8,108.35926835580719,105.36923368020419,LEC
9,172.0599299017348,167.92226285839982,LEC
10,280.8129018685278,277.28265723135826,LEC
11,302.03925061776664,293.13340385087434,LEC
12,210.96826513572393,193.83813338401728,LEC
13,175.074268743971,178.17650316792816,OCO
14,281.7168758717616,279.6836825141406,LEC
15,313.77793449858586,309.8069687968254,LEC
16,326.2399648386755,322.62476321386185,LEC
17,335.29543187704695,328.8760203346591,LEC
18,345.79902214659035,329.22236138499255,LEC
19,351.80381268600956,322.97877636274995,LEC
20,197.1143704343999,178.27165178754,LEC
21,158.185010225235,189.93555602329394,OCO
22,276.7993358743928,281.58486248912607,OCO
23,310.46114530211514,312.5081966255991,OCO
24,319.3692495455704,319.4655435107976,OCO
