Minisector,OCO,PIA,Fastest
0,280.8116851749074,281.4335195138087,PIA
1,144.15493356305123,142.34879750102286,OCO
2,214.4864761264814,220.54709851799944,PIA
3,277.3147905709037,281.8105910370025,PIA
4,305.41287465109355,312.2541581098044,PIA
5,295.87080676557076,306.6045626007722,PIA
6,148.06093137095516,149.2783751867376,PIA
7,229.15894110751836,229.2774197065065,PIA
8,105.73981210014101,107.4428952563626,PIA
9,165.7957284410993,176.88478935821425,PIA
10,276.7935286633336,279.3464846014265,PIA
11,292.87024595613747,297.60829359220025,PIA
12,203.2301980043122,203.01754316094818,OCO
13,173.6264261058366,178.849694158647,PIA
14,279.6836825141406,281.90968397839737,PIA
15,309.49422830973083,311.40925860956924,PIA
16,321.90144654922364,325.1868579347042,PIA
17,328.6225031974153,332.8924228396653,PIA
18,329.36189680725573,334.14365071481035,PIA
19,323.1653737338252,327.75998021918036,PIA
20,183.41023676375457,176.89551889892454,OCO
21,184.2619938854531,178.72004013012912,OCO
22,279.97610108321993,280.32796257168366,PIA
23,311.451996874181,313.14730116860017,PIA
24,319.4655435107976,318.5851944182708,OCO
