Minisector,STR,PIA,Fastest
0,281.86556722096327,286.05476041818594,PIA
1,139.0042937082666,142.7200221774734,PIA
2,212.1649866601271,220.54709851799944,PIA
3,277.73222816646285,281.8105910370025,PIA
4,308.9545157757098,312.2541581098044,PIA
5,295.5665526090386,306.6045626007722,PIA
6,149.2090669931654,147.27000026537192,STR
7,241.95846581529608,231.4904841297323,STR
8,112.13454946421606,108.63136507705225,STR
9,160.43748220168916,174.60015675405072,PIA
10,273.14021241417294,278.80034398548355,PIA
11,295.7060310730083,297.26046750524375,PIA
12,219.78759587238687,213.2383995978783,STR
13,172.06847755437164,170.10349557567605,STR
14,273.08661232014947,279.66775489505847,PIA
15,308.8487982305465,311.40925860956924,PIA
16,321.4336368992299,325.1868579347042,PIA
17,328.68760324204777,332.8924228396653,PIA
18,330.7554261167702,334.3855940959739,PIA
19,326.247196919916,328.39320758224926,PIA
20,211.74770698285715,192.73032673544753,STR
21,161.00903039554288,168.22866609180593,PIA
22,278.4181436388955,276.63995489828545,STR
23,309.46067703583117,311.945881141522,PIA
24,318.5277566401459,318.8351944182708,PIA
25,314.0,316.0,PIA
