Minisector,SAI,NOR,Fastest
0,269.59007737111114,270.80493656071303,NOR
1,299.0105802171044,295.8164692803688,SAI
2,312.9809931831513,310.4914238935488,SAI
3,320.64539052,318.82404178133334,SAI
4,325.17952985738526,322.8419876051582,SAI
5,328.69567219563896,325.184642976508,SAI
6,202.90973874271782,197.2617787423711,SAI
7,102.78765021187627,105.36732858272335,NOR
8,178.61012385060124,187.73025388190476,NOR
9,260.83101451465154,260.0641256063492,SAI
10,291.55870543349204,288.58001692867725,SAI
11,155.79492488557023,139.6916508155079,SAI
12,91.33055443743604,97.66473311137258,NOR
13,111.37839271136714,117.3434974253258,NOR
14,219.81878024888888,218.24951759092968,SAI
15,177.138199643327,192.44913908538888,NOR
16,216.07253080924306,216.29539432935064,NOR
17,169.76838459257863,175.50024585765505,NOR
18,237.1860282651462,238.4444381976031,NOR
19,281.9594015146858,277.6771468287879,SAI
20,252.96776054520055,245.53260532701668,SAI
21,145.59981635952593,139.83320373121694,SAI
22,95.5659930368383,96.80921676107701,NOR
23,120.6048890337733,124.32767607019699,NOR
24,224.39856053206128,228.97951380438448,NOR
25,256.6249984,,SAI
