Minisector,SAI,RUS,Fastest
0,269.59007737111114,273.71855220242423,RUS
1,299.0105802171044,298.9434083347295,SAI
2,312.9809931831513,312.7405094874074,SAI
3,320.64539052,320.80829561606396,RUS
4,325.17952985738526,325.1520016664704,SAI
5,328.69567219563896,314.27453796857145,SAI
6,202.90973874271782,200.96021446153844,SAI
7,102.78765021187627,103.9203429382068,RUS
8,178.61012385060124,183.71271782624257,RUS
9,260.83101451465154,255.97684462399997,SAI
10,291.55870543349204,285.1441376923459,SAI
11,155.79492488557023,161.27591417626928,RUS
12,91.33055443743604,95.99297499189281,RUS
13,111.37839271136714,113.21161877816716,RUS
14,219.81878024888888,216.24909643489525,SAI
15,177.138199643327,178.38420175205414,RUS
16,216.07253080924306,218.47119025066667,RUS
17,169.76838459257863,172.9092311588988,RUS
18,237.1860282651462,229.7049041265709,SAI
19,281.9594015146858,280.0793152024803,SAI
20,252.96776054520055,247.25378662058955,SAI
21,145.59981635952593,144.9776035698973,SAI
22,95.5659930368383,92.1704634430444,SAI
23,120.6048890337733,124.44169023328305,RUS
24,224.39856053206128,221.05158909090912,SAI
25,256.6249984,254.08571977142856,SAI
