Minisector,RUS,GAS,Fastest
0,289.4760024571114,283.9668939393939,RUS
1,171.20979461937327,154.70618281316789,RUS
2,167.9583613180004,175.27297621471862,GAS
3,250.58475254450795,251.88371936907828,GAS
4,285.035459334966,279.79941379518453,RUS
5,253.11478751265597,243.5622453548896,RUS
6,218.8254729735279,218.92915549302833,GAS
7,153.56766297910937,150.75618945277813,RUS
8,227.32098958728386,229.27715571717172,GAS
9,282.63771509925925,280.4547727030303,RUS
10,299.0287370444828,299.3600888313213,GAS
11,306.0350565773983,308.229644089685,GAS
12,308.79361635080215,309.87083333333334,GAS
13,308.75,301.08889111619044,RUS
14,131.45689333297693,131.73761682185787,GAS
15,123.35490209796673,120.49561514970993,RUS
16,105.9644392581693,101.4272972749936,RUS
17,234.21774938531357,230.81512476267469,RUS
18,286.6445611398256,287.2131488609524,GAS
19,306.3457420377727,307.02728294117924,GAS
20,313.27664405684055,317.0733040990278,GAS
21,316.7686662842857,311.6845264522222,RUS
22,135.71367031794142,112.07044881512266,RUS
23,203.27672826934244,201.02390331715827,RUS
24,269.22667033936057,269.3752582345974,GAS
