Minisector,ALO,NOR,Fastest
0,268.8880529741497,255.99750432000002,ALO
1,134.90745638722973,129.2842454432168,ALO
2,194.4936299845695,197.06962623558897,NOR
3,244.33248270534799,247.19641813679655,NOR
4,259.69479077528746,256.5984772854701,ALO
5,178.80554473870825,172.97829843682538,ALO
6,147.74691929816797,140.32955724391428,ALO
7,178.83154474065958,173.3082674575084,ALO
8,98.6298882333448,98.16889323391102,ALO
9,74.60279587870582,69.37607439463979,ALO
10,89.91537950316759,89.89944230370975,ALO
11,174.844750974683,174.7790459307906,ALO
12,242.48221240334777,243.19778754461538,NOR
13,266.4530619820408,268.6125114240736,NOR
14,276.59847626779316,276.22798302666666,ALO
15,117.07487753267672,109.12750002195398,ALO
16,145.02427779446342,148.4322238745061,NOR
17,180.49478121142857,185.3412782910458,NOR
18,196.89294009481483,201.7536415879636,NOR
19,218.33466942201431,210.92543184574484,ALO
20,134.24842773705927,134.396817790455,NOR
21,108.99966608809987,105.69185404053196,ALO
22,93.67173636662358,93.57843853308249,ALO
23,196.27677742010357,201.39927047417166,NOR
24,249.01159464313528,250.48405691803583,NOR
25,263.3812464,,ALO
