Minisector,LEC,SAI,Fastest
0,265.1446063542857,261.37451138380953,LEC
1,135.792294853815,129.66547436952382,LEC
2,196.8109128392425,201.02155925360282,SAI
3,244.86854475174604,246.7809012084601,SAI
4,261.1557843326984,263.005676009324,SAI
5,175.82918255427379,171.36343628527786,LEC
6,144.72831159394383,140.62696653515528,LEC
7,184.69678121757207,185.6462397896911,SAI
8,102.52935221192881,98.32616639028944,LEC
9,71.840992597862,69.87189718488307,LEC
10,95.35363880280453,95.33726437534854,LEC
11,180.82958305385282,187.92976666713972,SAI
12,243.53101866384878,245.7600303658975,SAI
13,268.50464282340135,270.826843712752,SAI
14,280.34806438857146,274.71817384573893,LEC
15,108.9729912325069,100.15060980994708,LEC
16,142.0739126561616,155.0611883461671,SAI
17,185.42739074192687,187.39346417980087,SAI
18,199.8912377942246,194.04166787368422,LEC
19,217.46661999819915,202.2076434265671,LEC
20,135.45077351798707,135.22853454705123,LEC
21,114.08272814224284,102.62761724715892,LEC
22,99.83443231158633,104.82539131529778,SAI
23,203.64434139495555,208.07664913469975,SAI
24,249.09088552133582,254.7131429040293,SAI
25,261.8545454545454,,LEC
