Minisector,VER,OCO,Fastest
0,302.81042324208096,289.10019678557,VER
1,320.9425540958153,298.67119826729146,VER
2,324.96913834505625,288.74758493642514,VER
3,190.7572188303069,182.6150267356229,VER
4,209.28034535863011,204.0425942458167,VER
5,205.26255249576374,201.3563350780133,VER
6,264.7614975425246,258.0733442742857,VER
7,255.43011802905244,247.83348522733158,VER
8,210.01373869883562,204.41884415365078,VER
9,207.01931175423377,203.80993455624883,VER
10,142.31887698215826,139.12131434416378,VER
11,195.28547883753723,191.45382663596277,VER
12,182.86279717068064,176.72348193852665,VER
13,245.4992186088889,251.21550976870748,OCO
14,173.9457192090476,168.3668284349399,VER
15,232.29880832662528,229.91684414439783,VER
16,274.9499654995011,273.36248980825394,VER
17,279.2964865206349,280.2893769671265,OCO
18,273.59921724836937,272.0912281323363,VER
19,256.5621184562186,253.41054686567495,VER
20,254.52126699089948,251.51271684082306,VER
21,255.71545048629588,252.33933821217394,VER
22,222.61687171868132,219.9293476733383,VER
23,201.01702149334292,193.15165111724139,VER
24,266.5798073194805,266.10422750749626,VER
25,284.13250048,,VER
