Minisector,HAM,OCO,Fastest
0,300.8512595974095,297.33151248592594,HAM
1,229.31510860546032,253.89696381335978,OCO
2,135.43885371757403,127.31672199884139,HAM
3,245.97524985779845,235.3479008246962,HAM
4,191.96616683020682,193.14510662831725,OCO
5,239.65652069538316,244.4719158365683,OCO
6,226.23560035003067,228.45354108728066,OCO
7,257.2135994407408,252.6987138726589,HAM
8,288.70266636344337,283.04982217071205,HAM
9,205.32357823747614,214.13149824669182,OCO
10,201.53036528335025,197.67264974245117,HAM
11,274.21703255316805,268.40491204534754,HAM
12,218.63858133294536,215.44775023356436,HAM
13,251.66249909255188,247.1947943835543,HAM
14,290.99291529251326,287.1830267115323,HAM
15,305.3619792242424,301.5264337811289,HAM
16,307.43795747262175,298.52530940948185,HAM
17,209.68175443273057,213.95959433246279,OCO
18,260.32540630219347,261.3638326804457,OCO
19,293.361906402963,293.5451996084472,OCO
20,305.7395927949121,305.8532379555556,OCO
21,304.3369489403752,310.9304166704762,OCO
22,150.66924657349628,152.89932037649876,OCO
23,234.30500236458653,232.38903058556613,HAM
24,288.0410984035072,282.8412759346189,HAM
