Minisector,SAI,LEC,Fastest
0,304.81765782588235,306.010800133654,LEC
1,252.05483067029476,235.612533927768,SAI
2,126.33874823819919,130.3822482401562,LEC
3,239.22700824130965,230.7074163967046,SAI
4,187.7102633707719,191.43337880242703,LEC
5,248.54746901351473,248.1387957045118,SAI
6,231.2153717757647,229.3180761662669,SAI
7,254.08393377645712,255.03142920619527,LEC
8,289.88341328761766,290.03693842550723,LEC
9,207.75549681962482,198.12152054965134,SAI
10,198.68408864420346,207.43125807317364,LEC
11,270.7999320480149,273.81996147809525,LEC
12,209.51958495142858,201.29995143991144,SAI
13,246.80769101418002,247.0994188812494,LEC
14,288.67997888487616,289.7158716653714,LEC
15,305.48579844697264,306.9751014391714,LEC
16,306.28371195151516,305.42052375214166,SAI
17,205.85423580372196,204.53345510996806,SAI
18,259.92816744671205,268.9053704507936,LEC
19,293.40875616253544,295.50424259047617,LEC
20,307.6660323090909,309.351985876715,LEC
21,309.6445912604003,310.03845331070704,LEC
22,149.98124104055512,148.3583414774954,SAI
23,228.8701161611296,237.37712036147403,LEC
24,286.6228032163634,287.2812142141414,LEC
25,299.0,,SAI
