Minisector,VER,GAS,Fastest
0,306.5934525714286,296.74566619887634,VER
1,240.69871278370442,241.05564304203173,GAS
2,130.5712686454144,128.94811155223158,VER
3,240.62635629241413,243.83793788678759,GAS
4,196.22387466884354,191.0077345887125,VER
5,251.66877437963524,241.7784168491413,VER
6,232.27544132368254,226.63927732684442,VER
7,257.4978761127619,248.19756969086419,VER
8,292.2750154609778,282.79098233318683,VER
9,213.73824402827623,213.54798985770307,VER
10,199.6306631329225,199.15759459549722,VER
11,276.55681004969694,268.9689289667448,VER
12,214.0681007520569,212.52927650152313,VER
13,247.4312142615873,245.96311819686505,VER
14,293.1183615370248,286.9871850958684,VER
15,309.663148277539,302.0258928571429,VER
16,311.8826057707231,298.64975248850243,VER
17,212.23886390263175,213.8295096419113,GAS
18,260.24765645235885,258.7993461347021,VER
19,299.7006625713823,292.22450065130676,VER
20,311.59098632623375,303.84284909057953,VER
21,315.4003750933333,301.0766504103896,VER
22,152.7774522695506,154.56406922460658,GAS
23,233.49005632257897,223.8115816488857,VER
24,288.1401241411992,283.1969570504348,VER
25,,295.3437504,GAS
