Minisector,HAM,SAI,Fastest
0,302.53079301065713,290.6941358649639,HAM
1,317.3267264186909,301.85746073656867,HAM
2,325.61163201666665,307.16278256435953,HAM
3,324.89805194805194,303.6289411030913,HAM
4,172.83554283342528,166.47145259367295,HAM
5,212.49898530714978,202.22805782568508,HAM
6,239.87015366875062,229.92610987123808,HAM
7,264.78811708883114,261.6085296409269,HAM
8,245.96807625055416,256.0525562995488,SAI
9,160.70590884705882,159.62324944827486,HAM
10,225.4144917600058,225.42994568652955,SAI
11,127.53918324297747,128.3556955742229,SAI
12,228.46854765874514,225.90557089415358,HAM
13,179.73307084952378,178.96082372866178,HAM
14,215.62397917124426,208.67853381164022,HAM
15,248.99439180654244,235.66876628140787,HAM
16,265.1992866989689,256.9920601866577,HAM
17,285.6380016888889,284.6777124288385,HAM
18,151.7923155745355,157.29720787924305,SAI
19,168.15546318257253,164.56499643487626,HAM
20,139.35467191735586,135.4594214675511,HAM
21,227.79852463007214,219.31796986663204,HAM
22,260.9515335619048,258.0015396162097,HAM
23,249.8939166,245.79648615625138,HAM
24,271.9638568393746,272.09019165601194,SAI
25,282.2833333333333,284.6318178909091,SAI
