Minisector,RUS,PER,Fastest
0,288.7094958185941,291.60918150949345,PER
1,297.5340441411765,300.5865312964265,PER
2,301.03729949946523,304.8270751079739,PER
3,298.78508719157895,295.36249890476194,RUS
4,167.86085449335303,170.28692884399388,PER
5,207.72601959866347,209.21787889260685,PER
6,227.45609723555555,234.09915662348766,PER
7,259.97889637434264,265.67220980581055,PER
8,255.72731292721204,250.35924671311332,RUS
9,162.32742247823617,162.02719425918607,RUS
10,224.3441312952053,221.01664566239785,RUS
11,134.1859757373189,132.04256334831746,RUS
12,226.65081925315582,233.1681144324222,PER
13,183.1548811310451,178.5563274700529,RUS
14,216.4093277822465,216.59139960287732,PER
15,230.02200490143338,245.97965936484846,PER
16,254.21227205756435,266.4604009142857,PER
17,279.27628251877724,288.43075416242425,PER
18,155.0580302020235,161.0813491619822,PER
19,166.88518593976767,169.8781700754115,PER
20,141.4121574704357,145.45509527524567,PER
21,221.71867680984124,234.487335045558,PER
22,255.58669471200793,264.73650931887636,PER
23,243.5028195812197,246.627649376,PER
24,268.05269185994047,280.0940038460024,PER
25,280.7928576,,RUS
