Minisector,VER,ZHO,Fastest
0,292.2906127032181,285.41167114848486,VER
1,301.68642401735934,294.44905525472063,VER
2,306.21821425142855,298.34288356923076,VER
3,307.1267970509804,294.8105368737866,VER
4,176.01992609381347,166.68033662634832,VER
5,211.74085115566595,199.36444111596248,VER
6,242.69555784281573,225.01387147470408,VER
7,267.77923237028614,256.756945487756,VER
8,256.61514146742854,249.15352945973146,VER
9,164.54775483965372,159.34255703285714,VER
10,229.165047265526,224.08448190049492,VER
11,129.61305489924825,128.66082126915757,VER
12,229.62730079346585,223.57372023458228,VER
13,185.49525954551729,178.166528935602,VER
14,213.26990956906738,210.0301774191544,VER
15,247.7983910745298,233.91114363705628,VER
16,265.208204184127,256.20491931605795,VER
17,287.98586781795416,279.19934632082163,VER
18,158.90663209332425,153.08011634455025,VER
19,166.61143064689185,160.71747745572966,VER
20,139.515669376951,141.49195416124445,ZHO
21,224.0290949381829,223.85562566714086,VER
22,263.3438202756302,252.86482982399997,VER
23,258.86214291777213,237.12890944521305,VER
24,277.208463389899,266.1584074980263,VER
25,,278.3,ZHO
