X,Y,Minisector,Fastest
-1370.2241995256488,-361.3353728980815,0,GAS
-1347.1292798117795,-379.5716417560739,0,GAS
-1316.0,-404.0,0,GAS
-1193.5367108958485,-498.61736402468813,0,GAS
-1180.0,-509.0,0,GAS
-1083.9184678893566,-582.4992534837824,0,GAS
-1040.0,-616.0,0,GAS
-927.0,-702.0,0,GAS
-808.2713780995698,-792.7037676401252,0,GAS
-679.9550635595903,-890.8123153137599,0,GAS
-664.0,-903.0,0,GAS
-609.8311253644064,-944.3121313192484,0,GAS
-533.0,-1003.0,0,GAS
-512.859044129178,-1018.4570174847875,0,GAS
-394.61991092113743,-1109.255982897544,0,GAS
-378.0,-1122.0,0,GAS
-307.4280615739426,-1175.885414430152,0,GAS
-277.0,-1199.0,0,GAS
-143.11378766986147,-1300.9352067288958,0,GAS
-73.0,-1355.0,0,GAS
87.0,-1479.0,0,GAS
142.47362344309826,-1521.8996626968528,0,GAS
223.37966523821456,-1583.6676431686458,0,GAS
285.0,-1631.0,0,GAS
320.0,-1658.0,0,GAS
387.55529253738223,-1709.4880236662068,1,GAS
462.0,-1766.0,1,GAS
557.0,-1839.0,1,GAS
601.2729189593418,-1872.9989676484777,1,GAS
677.0,-1931.0,1,GAS
721.504774614143,-1965.0026447088096,1,GAS
842.3438531230827,-2057.2055200169475,1,GAS
846.0,-2060.0,1,GAS
931.0,-2125.0,1,GAS
962.5318102625556,-2149.044703051863,1,GAS
1078.0,-2237.0,1,GAS
1088.6089850028911,-2245.1116718779735,1,GAS
1268.4862676890934,-2383.067810171073,1,GAS
1348.0,-2444.0,1,GAS
1410.7671436752032,-2491.835921808595,1,GAS
1495.0,-2556.0,1,GAS
1503.6361971078384,-2562.638975069886,1,GAS
1623.5357169912998,-2654.89385660171,1,GAS
1642.0,-2669.0,1,GAS
1741.0,-2744.0,1,GAS
1822.9531558031713,-2806.8563026048528,1,GAS
1901.0,-2867.0,1,GAS
1946.6761093171895,-2902.055898964555,1,GAS
2012.0,-2952.0,1,GAS
2094.637329833163,-3014.8438511639492,1,GAS
2184.0,-3084.0,2,TSU
2244.0,-3132.0,2,TSU
2310.135833266639,-3184.7595410965755,2,TSU
2341.0,-3209.0,2,TSU
2512.2152929240447,-3340.7967851297535,2,TSU
2599.0,-3407.0,2,TSU
2695.0449658205303,-3479.840187777654,2,TSU
2800.982868245651,-3561.602744025631,2,TSU
2804.0,-3564.0,2,TSU
2882.0,-3627.0,2,TSU
2912.934901413254,-3652.999615195824,2,TSU
3024.577908641832,-3750.6569330820676,2,TSU
3047.0,-3770.0,2,TSU
3146.6314802964994,-3852.3615332596887,2,TSU
3181.0,-3880.0,2,TSU
3271.0,-3952.0,2,TSU
3280.961493148482,-3959.943310499451,2,TSU
3311.0,-3983.0,2,TSU
3363.0,-4016.0,2,TSU
3416.8076445427623,-4040.206919857991,2,TSU
3419.0,-4041.0,2,TSU
3468.1046188620376,-4055.6076796188563,2,TSU
3496.0,-4062.0,2,TSU
3531.407561757585,-4068.538205598616,2,TSU
3557.0,-4072.0,2,TSU
3577.6808563849363,-4073.8329342041884,2,TSU
3640.3737580304837,-4069.419989757022,2,TSU
3642.0,-4069.0,2,TSU
3706.0,-4042.0,2,TSU
3727.947878909283,-4027.369271925373,2,TSU
3750.619171643457,-4005.2663673992583,2,TSU
3757.0,-3998.0,2,TSU
3784.0,-3959.0,2,TSU
3792.593260717579,-3938.5603070464786,2,TSU
3810.0,-3873.0,2,TSU
