Minisector,STR,HUL,Fastest
0,294.47306807709094,302.70646268084056,HUL
1,222.01189827675424,210.02288482742858,STR
2,230.43120338189715,232.14329946984626,HUL
3,274.71839655251443,277.6938724005037,HUL
4,245.48642710915752,241.95144930771525,STR
5,128.66349141548213,124.09408108955108,STR
6,213.20351249293623,213.2977288155111,HUL
7,262.96838648838093,260.7873172403743,STR
8,247.41072933791247,253.367295363826,HUL
9,241.4027669854384,236.19571158603173,STR
10,275.7732094681905,279.22951920728457,HUL
11,291.86807680961675,299.0533918236883,HUL
12,301.5787834055053,309.8495472422804,HUL
13,305.37267205182184,313.5455101910204,HUL
14,304.57102960941177,313.20320299744105,HUL
15,252.03190895304348,252.94018758523,HUL
16,246.21091970667004,242.87497368288598,STR
17,282.2678967651371,282.90866446064615,HUL
18,294.13693952827543,296.71337508799996,HUL
19,153.92274334654655,155.08225337881282,HUL
20,208.93090979109553,207.64711062755558,STR
21,182.58100323697778,185.4204722721623,HUL
22,147.65434966098042,140.05252767277167,STR
23,238.519650364943,240.53967859456176,HUL
24,282.46780210151877,284.07092893669204,HUL
25,,299.1222215111111,HUL
